"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to"
"2014-02-02__a1BkWEipyk.html","2014-02-02","passman","Secret of Methamphetamine Manufacture 8th Edition",0.00246813,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__A1K0Ng2cSw.html","2014-02-02","fake","ITALIAN SIM CARD",0.04769825,"Counterfeits","Electronics",NA,"
    Feedbacks:
    No feedbacks found.
"," EU ",NA
"2014-02-02__A1R7CvYzN8.html","2014-02-02","fake","Running a Profitable Gambling Ring",0.01228531,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__a1wNNYFoK9.html","2014-02-02","dgslabz","Test Enanthate 300mg x 10ml",0.06834845,"Drugs","Steroids",NA,"
    Feedbacks:
    No feedbacks found.
"," From: USA To: USA ",NA
"2014-02-02__a23Rhl9qFj.html","2014-02-02","keno13","Registered Pre-Paid Burn Phone",0.07222603,"Forgeries",NA,NA,"
    Feedbacks:
    No feedbacks found.
"," Australia ",NA
"2014-02-02__a27UFy7tcb.html","2014-02-02","FattusCatteratus","3.5g #4 Afghan Heroin! GREAT QUALITY!",0.73894355,"Drugs","Opioids",NA,"
    Feedbacks:
    No feedbacks found.
"," USA ",NA
"2014-02-02__A34tG7oG83.html","2014-02-02","blackhand","Marijuana Chemistry: Genetics, Processing, Potency",0.00184055,"Information","eBooks",NA,"
    Feedbacks:
    No feedbacks found.
"," Internet ",NA
"2014-02-02__a37plcuKol.html","2014-02-02","budbrother","10 regular seeds - Skunk Kush - pain relief",0.03684688,"Drugs","Cannabis","Weed","
    Feedbacks:
    No feedbacks found.
"," Australia ",NA
"2014-02-02__a3AmBe0hTS.html","2014-02-02","fake","USD COUNTERFIITTING",0.01222583,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__a3qa3MjRY2.html","2014-02-02","fake","Defeating Electromagnetic Door Locks",0.01110014,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__A3VMxBmspL.html","2014-02-02","RC4Everyone","M11 / DiMethylone / MDDMA 50g Powder Import - Free Ship",0.3688585,"Drugs","Ecstasy","Other","
    Feedbacks:
    No feedbacks found.
"," China ","Worldwide
    "
"2014-02-02__A3Z6Ttui24.html","2014-02-02","CowBe11s","1 US Amex Centurion dump",0.07339449,"Services","Money",NA,"
    Feedbacks:
    No feedbacks found.
"," Torland ",NA
"2014-02-02__a4aV6P8nWl.html","2014-02-02","goodfornothing","MDMA (10g)",0.21719656,"Drugs","Ecstasy","MDMA","
    Feedbacks:
    
        
            
                
                    5/5
                    FE early, no problem - GFN came through like a champ on the last order!
                    

                    1 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    5/5
arrived in 2 days
weight is perfect
looks great
                    

                    4 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    5/5
arrived in 2 days
weight is perfect
looks great
                    

                    4 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Came in, great stuff, tested black and everyone in the club liked it
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    GFN is proper as fuck. Stealthy and fast! Got here in 4 days. Excellent product! Can't wait for my next order. Thank you!
                    

                    5 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Order arrived today - smelled good, reagent tests were good, and it was over weight. :-) Very happy so far. Might check melting
                    

                    1 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    on point weight. smells and looks fuckin great... definitely wanna get some more soon. ;) NICE big rocks... will possibly updat
                    

                    5 days ago
                    anon  ~5/5, 6~10 deals
                
            
                
                    5/5
                    Arrived today. Ordered on the 2nd, it is now the 8th. Will definitely be back for more.
                    

                    4 days ago
                    anon  ~5/5, 3~5 deals
                
            
        
    
"," Canada ","Everywhere except Australia
    "
"2014-02-02__A4Lwam2ihN.html","2014-02-02","passman","Anything Free From Microsoft",0.0246813,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__a4pL3xRqf1.html","2014-02-02","blackhand","The Varieties of Psychedelic Experience: The Classic Guide to the Effects of LSD on the Human Psyche",0.00184055,"Information","eBooks",NA,"
    Feedbacks:
    No feedbacks found.
"," Internet ",NA
"2014-02-02__a4wtDKMvlZ.html","2014-02-02","HumanTraffic-Jip","0,25 lbs 4 Oz Perfect Outdoor WEED Big, Dense, Strong Buds! Like INDOOR",1.10741971,"Drugs","Cannabis","Weed","
    Feedbacks:
    No feedbacks found.
"," Germany ","Worldwide
    "
"2014-02-02__a5CBdN4c7b.html","2014-02-02","jackiestovalls","5g 5F-PB22",0.12168889,"Drugs","Other",NA,"
    Feedbacks:
    No feedbacks found.
"," China ","Worldwide
    "
"2014-02-02__A5pzYmFq13.html","2014-02-02","MaBra","10 X Xanax 1 Mg Upjohn 90 ( Alprazolam ) by Phizer",0.03710474,"Drugs","Benzos",NA,"
    Feedbacks:
    No feedbacks found.
"," Sweden ","Sweden
    "
"2014-02-02__a5ucCkAMfq.html","2014-02-02","THCXpert","50g Super Amnesia Haze",0.72222222,"Drugs","Cannabis","Weed","
    Feedbacks:
    No feedbacks found.
"," From: Germany To: Germany ",NA
"2014-02-02__a67nkR4Rrd.html","2014-02-02","fake","FUCK THE SYSTEM",0.00859971,"Information","eBooks",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__a6838Z6m7A.html","2014-02-02","Deliverator","LA Confidential -Indoor-1/8th (3.5g+) Top Shelve Indica strain",0.04820766,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    Nice stealth, great tasting and potent indica smoke.
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Fast service. Much appreciated.
                    

                    0 days ago
                    anon  ~5/5, 3~5 deals
                
            
        
    
"," From: USA ",NA
"2014-02-02__a6iZK5oYgc.html","2014-02-02","RepAAA","Patek Philippe - Watch Box (AAA Grade Replica)",0.15777114,"Counterfeits","Watches",NA,"
    Feedbacks:
    No feedbacks found.
"," Hong Kong ","Worldwide
    "
"2014-02-02__A70tarm5jp.html","2014-02-02","freestylerfreak13a","PGP Tutorial For Newbs (Gpg4Win)",0.01851851,"Information","eBooks",NA,"
    Feedbacks:
    No feedbacks found.
"," Torland ","worldwide
    "
"2014-02-02__a76csGjPwv.html","2014-02-02","Hackyboy","Carding bases Guide",0.02454017,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__a7KJCluk6p.html","2014-02-02","jackiestovalls","250g FAB-144",1.28089859,"Drugs","Other",NA,"
    Feedbacks:
    No feedbacks found.
"," China ","Worldwide
    "
"2014-02-02__a7nrJs1JdD.html","2014-02-02","pinky","WorldWide VALID DUMPS",100,"Services","Money",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__A7PTB7gueW.html","2014-02-02","RepAAA","Rolex - Lady Datejust 36mm Pink [Replica]",0.18300621,"Counterfeits","Watches",NA,"
    Feedbacks:
    No feedbacks found.
"," Hong Kong ","Worldwide
    "
"2014-02-02__A806RhmF1a.html","2014-02-02","mikehamer","KARELIA SLIMS TAX FREE CIGARETTES CHEAP CIGARETTES",0.04892966,"Tobacco","Smoked",NA,"
    Feedbacks:
    No feedbacks found.
"," Torland ","WORLDWIDE
    "
"2014-02-02__a8ETW0siPZ.html","2014-02-02","laWnmoWermAn","1 ounce of Permafrost - Ship to USA",0.27975803,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    Fantastic shipping!  Came in perfectly and very, very pleased!
                    

                    4 days ago
                    anon  ~5/5, 6~10 deals
                
            
        
    
"," USA ","USA
    "
"2014-02-02__a8gCl3hY5T.html","2014-02-02","fake","MONEY LAUNDERING RED FLAGS WIRE TRANSFERS",0.0085995,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__A8lZ76ScrX.html","2014-02-02","TragicallyHip","1gram TragicallyHip's Stupidly Potent Canadian MDA",0.10429447,"Drugs","Ecstasy","MDA","
    Feedbacks:
    No feedbacks found.
"," Canada ",NA
"2014-02-02__A8Mxh0CEp5.html","2014-02-02","RepAAA","Rolex - Watch Box (AAA Grade Replica)",0.1227039,"Counterfeits","Watches",NA,"
    Feedbacks:
    No feedbacks found.
"," Hong Kong ","Wordwide
    "
"2014-02-02__a9Jl8LAZLz.html","2014-02-02","fake","250 SOCKS5 PROXIES ANY COUNTRY NOOB FRIENDLY",0.07093673,"Data","Software",NA,"
    Feedbacks:
    No feedbacks found.
"," Torland ",NA
"2014-02-02__a9V4qTppqa.html","2014-02-02","fake","AUTO THEFT , RADAR JAMMING ETC",0.01842751,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
"," ",NA
"2014-02-02__aa0hYh1L02.html","2014-02-02","Righteous","25C-NBOMe HCl (1000µg) x600 blotter tabs",0.30674846,"Drugs","Psychedelics","NB","
    Feedbacks:
    
        
            
                
                    5/5
                    Righteous always delivers. 5/5, keep up the good work my friend.
                    

                    6 days ago
                    anon [0 deals]
                
            
        
    
"," USA ",NA
"2014-02-02__Aa2SYnlZpe.html","2014-02-02","DutchMasters","50 gram pure Cocaine Flakes -- Grade A Quality",5.40193877,"Drugs","Stimulants","Cocaine","
    Feedbacks:
    No feedbacks found.
"," From: Netherlands ",NA
"2014-02-02__aa2Uvra866.html","2014-02-02","Mandala","10g  Belladonna; Indoor; Organic; Very Potent;  A+ Quality",0.16629629,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    Fast delivery, solid stealth packaging, product is excellent. Thanks!
                    

                    3 days ago
                    anon  ~5/5, 3~5 deals
                
            
        
    
"," From: Germany To: Worldwide except Australia ",NA
"2014-02-02__aaaDSVyqJY.html","2014-02-02","MoreSpace","A+ Caramello Moroccan Hash - 20gr",0.24721878,"Drugs","Cannabis","Hash","
    Feedbacks:
    No feedbacks found.
"," From: EU To: EU ",NA
"2014-02-02__aaFEVFhplz.html","2014-02-02","SamWalton","1OZHigh Grade Mexican Commercial",0.10438797,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    ships fast and great communication
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Great product for the price. Will be coming back.
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","USA
    "
"2014-02-02__AaFy3eieZs.html","2014-02-02","AfghanApothecary","1 GRAM SPEED AND 100MG CHYNA WHITE ONLY $20 WITH THE AA PARTY PACK",0.02456006,"Drugs","Other",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Fast delivery.  Spot on stealth.  Tried the chyna white and it's pretty good!  The paste stinks too.  Thanks
                    

                    5 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    This lot really are simply the best.
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," UK ",NA
"2014-02-02__AaoV5wUy4d.html","2014-02-02","ProperPacks","1g 84% Pure White Crystal MDMA",0.08606698,"Drugs","Ecstasy","MDMA","
    Feedbacks:
    No feedbacks found.
"," USA ","USA
    "
"2014-02-02__ABL33n34si.html","2014-02-02","Mountain","1/8 oz Agent Orange, Organic, Jar Cured",0.04944375,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    5 star i just got my package today i recommend everybody do buisness with this man he is Grade A with grade A product !!! truly
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Great herb with a wonderful cure that is perfect for vaping.  Super heavy bags with additional samples, definitely quality nugs.
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Product is superb.
                    

                    5 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    Professional service and an easygoing guy as far as I can tell.

A+, I know for a fact it could have arrived sooner had my lo
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Happily surprised by the super fast shipping, great quality product, very stealthy. Will be back for more!
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Perfection. Very quick shipping, great communication, great product, with a beautiful sample of N.L.
                    

                    6 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    This guy deserves FE for anything thanks!
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Fast Shipping, Very discreet, and you hooked it up with more bud and also a sample of his other amazing strain. Will be a regul
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Thanks Mountain! Very fast, VERY generous, adequate stealth, very good deal. Nice crystally orange product.
                    

                    6 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    OHHH SOOOO NICE...very mellow high, sweet little pouch of Northern Lights.I like them both! See ya soon! A+++
                    

                    6 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    The rising star Mountain. Very Fast shipping with a amazing product. Thanks for the extras!
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    We have a rising star among vendors here! Very generous, great stealth, fast delivery - everything you could ask for.

This w
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Very fast shipping wow..product is of amazing quality I'm very impressed and very high..overweight and got a bonus treat also..
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    fast shipping,stealth is good, and product is as described.
                    

                    2 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    These are the buds you keep and don't sell, They are gorgeous, absolutely beautiful. Needless to say I will be ordering again.
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    AO here 3 days, prof outer pkg, stealth, overweight w/huge nug, ammonia sweet smell, well cured trimmed. NLxSS surprise! All 5/
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," From: USA To: USA ",NA
