"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to"
"2014-01-01__a1BkWEipyk.html","2014-01-01","passman","Secret of Methamphetamine Manufacture 8th Edition",0.00266844,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
","
    
    
    ",NA
"2014-01-01__a37plcuKol.html","2014-01-01","budbrother","10 regular seeds - Skunk Kush - pain relief",0.05353963,"Drugs","Cannabis","Weed","
    Feedbacks:
    No feedbacks found.
","
       Australia
    
    ",NA
"2014-01-01__a5CBdN4c7b.html","2014-01-01","jackiestovalls","5g 5F-PB22",0.132,"Drugs","Other",NA,"
    Feedbacks:
    No feedbacks found.
","
      China
      ","Worldwide
    "
"2014-01-01__a76csGjPwv.html","2014-01-01","Hackyboy","Carding bases Guide",0.02667377,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
","
    
    
    ",NA
"2014-01-01__a7KJCluk6p.html","2014-01-01","jackiestovalls","250g FAB-144",1.38703654,"Drugs","Other",NA,"
    Feedbacks:
    No feedbacks found.
","
      China
      ","Worldwide
    "
"2014-01-01__ABnFuNDr6M.html","2014-01-01","passman","Carding Setup (TorBrowser) Tutorial",0.02001334,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    superb communication and fast delivery. best in the game!
                    

                    5 days ago
                    anon [0 deals]
                
            
        
    
","
    
    
    ",NA
"2014-01-01__acewkqcy4S.html","2014-01-01","CB2013","1/2oz. + 1/8th WAX",0.6084056,"Drugs","Cannabis","Hash","
    Feedbacks:
    No feedbacks found.
","
       USA
    
    ",NA
"2014-01-01__AfExV0oqSE.html","2014-01-01","realfake","Classifieds Bank Cashout Method",0.01329857,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
","
      Torland
    
    ",NA
"2014-01-01__aGGJEUFFih.html","2014-01-01","Hackyboy","Complete tutorial on hacking Paypal accounts",0.02667377,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
","
    
    
    ",NA
"2014-01-01__Ah8JJM4Pu1.html","2014-01-01","jackiestovalls","250g Benzocaine",0.33288948,"Drugs","Other",NA,"
    Feedbacks:
    No feedbacks found.
","
      China
      ","Worldwide
    "
"2014-01-01__aijlcjiFSy.html","2014-01-01","3dames","Fluoxetine (Prozac) 20 mg x 30 (free shipping)",0.04138851,"Drugs","Prescription",NA,"
    Feedbacks:
    No feedbacks found.
","
      undeclared
      ","Worldwide
    "
"2014-01-01__ajScCTGU4E.html","2014-01-01","jackiestovalls","10g FUB-PB22",0.22503328,"Drugs","Other",NA,"
    Feedbacks:
    No feedbacks found.
","
      China
      ","Worldwide
    "
"2014-01-01__akJGZhNreD.html","2014-01-01","goodfornothing","MDA (30g)",0.72630173,"Drugs","Ecstasy","MDA","
    Feedbacks:
    No feedbacks found.
","
       Canada
      ","everywhere but Australia
    "
"2014-01-01__Al6mNyzmTK.html","2014-01-01","MrCronk","14g HIGHGRADE KETAMA HASH w NDD;)",0.18938383,"Drugs","Cannabis","Hash","
    Feedbacks:
    No feedbacks found.
","
      Undeclared;)
      ","Worldwide
    "
"2014-01-01__ALDcahdCtn.html","2014-01-01","drzheng","1kg pure bk-MDMA/ METHYLONE- with FREE shipping",3.67156208,"Drugs","Methylone",NA,"
    Feedbacks:
    No feedbacks found.
","
       China
      ","Worldwide
    "
"2014-01-01__Am9VXNFly6.html","2014-01-01","RepAAA","Rolex - Submariner PVD ETA [AAA+]",0.39905508,"Counterfeits","Watches",NA,"
    Feedbacks:
    No feedbacks found.
","
      Hong Kong
      ","Worldwide
    "
"2014-01-01__Amqtmf737h.html","2014-01-01","SaltnPepper","5 Vials (25ML) Dutch quality GHB",0.03688918,"Drugs","Disassociatives","GHB","
    Feedbacks:
    No feedbacks found.
","
       Netherlands
    
    ",NA
