"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"zxJECEcJc","2014-10-19","DrEarnhardt","25gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 VERY FAST DELIVERY TO GERMANY(3days)! QUALITY IS GOOD! 17 days ago anon 5.00/5, 40~55 deals 5/5 incredible stuff would definately not consider it shake its far above that. second order from Dr.E and perfect again 33 days ago anon ~5/5, 6~10 deals 5/5 Still perfect seller! 34 days ago anon ~5/5, 6~10 deals 5/5 smells dank for shake 50 days ago anon 5.00/5, 40~55 deals 5/5 Communication was bad, but the Stuff arrived! Trim is exact 25g, strong grinded, but smell is good. Thank you :) 203 days ago anon ~5/5, 15~25 deals 5/5 5/5 Excellent as always! 211 days ago anon ~5/5, 15~25 deals 5/5 Excellent product, great quality smoke and vendor 212 days ago anon ~5/5, 10~15 deals 5/5 Very happy with my 2nd order, nice mild high :) 214 days ago anon ~5/5, 10~15 deals 5/5 all good and 10% overweight! 215 days ago anon ~5/5, 40~55 deals 5/5 All good, 10 days to U.K 229 days ago anon ~5/5, 25~40 deals 5/5 Nice stuff - good stealth nice smoke 232 days ago anon ~5/5, 1~2 deals 5/5 This is much better than you think, not normal leafy stuff that tastes like grass from the garden...THIS IS REALLY NICE ..PROPE 244 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FuCewZBGr","2014-10-22","DrEarnhardt","100gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Perfekt 4 days ago anon ~5/5, 3~5 deals 5/5 Good smoke, good weight great deal! very happy :) 233 days ago anon 5.00/5, 40~55 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"iTbRXFdX","2014-10-22","DrEarnhardt","50gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Nice product for a good price and overweight Thanks DrEarnhardt 204 days ago anon 5.00/5, 25~40 deals 5/5 One more perfect transaction with Great Vendor! Thank you so much Doktor! 10/5 for all 208 days ago anon ~5/5, 10~15 deals 5/5 Arrived to Germany in 3 business days. Good smoke, great bang for the buck. Was 54.1 grams including packaging. 209 days ago anon ~5/5, 6~10 deals 5/5 Great Stealth and great product +++ 209 days ago anon ~5/5, 1~2 deals 5/5 Perfect seller! 210 days ago anon ~5/5, 6~10 deals 5/5 This time the package never arrived. But the seller sent me the refund immediately after my request. I would order again. 222 days ago anon ~5/5, 6~10 deals 5/5 EXCELLENT! 227 days ago anon ~5/5, 15~25 deals 5/5 quick delivery. this shake is top notch smoke smells like Amsterdam...And for the price there is nothing that comes close...Tha 236 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"kMpXUvwaun","2014-10-22","DrEarnhardt","10gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Very quick, thanks. 8 days ago anon 3~5 deals 5/5 Finally received, all fine 22 days ago anon ~5/5, 15~25 deals 5/5 Is good for that price, decent stealth, good delivery time, thanks! 32 days ago anon 5.00/5, 25~40 deals 5/5 I love this vendor. Thanks. 41 days ago anon ~5/5, 10~15 deals 5/5 first order of 10g cut didn't arrive, got 5g buds instead (within the week), good communication, excellent weed, top vendor. 96 days ago anon ~5/5, 15~25 deals 5/5 Arrived. 108 days ago anon ~5/5, 6~10 deals 5/5 116 days ago anon ~5/5, 6~10 deals 5/5 126 days ago anon 1~2 deals 5/5 Ace, wonderful stuff! 138 days ago anon 4.94/5, 40~55 deals 5/5 nice 143 days ago anon 3~5 deals 5/5 good product for a low price. recommend this seller 145 days ago anon 5.00/5, 25~40 deals 5/5 Order didn't arrive,so reshipped 1/3, which arrived really fast(5 days). 146 days ago anon 3~5 deals 5/5 overweight!!!!! super quality 151 days ago anon ~5/5, 15~25 deals 5/5 Speedy delivery. Overweight! Great quality shake. Trust him, he is a doctor. 152 days ago anon ~5/5, 10~15 deals 5/5 Great Stealth, arrived to UK in 5 days, great price! 156 days ago anon ~5/5, 6~10 deals 5/5 No received my second order, but 25% refund immediately ! You can trust this good vendor ! Thx Dr 159 days ago anon 5.00/5, 15~25 deals 5/5 The doctor does it again! Shipping took a bit longer this time, but no vendor's fault - all good as always!!! 160 days ago anon ~5/5, 6~10 deals 5/5 Very good shake 168 days ago anon ~5/5, 15~25 deals 5/5 Perfect as always. Thank you very much Doktor! 174 days ago anon ~5/5, 10~15 deals 5/5 Very satisfied, arrived quickly and no problems. 189 days ago anon ~5/5, 6~10 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"psiCgYGvo","2014-10-22","GucciBuds","✫ ✬ ✭ ✮ ✯ 1OZ 28g SHAKE/TRIMMINGS ✫ ✬ ✭ ✮ ✯","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Very, very leafy, unfortunately. Kind of disappointed, but the price was good and the shipping time was decent. Don't want to d 0 days ago anon ~5/5, 3~5 deals 2/5 barley smokeable at all.. picture is defiantly outdated. its better for cooking. 125 days ago anon ~5/5, 15~25 deals 5/5 Prompt responses, professional packaging. great experience 130 days ago anon ~5/5, 10~15 deals 5/5 Came Very fast, best stealth I've ever seen, amazing deal, will return, 5/5 131 days ago anon 4.91/5, 25~40 deals 5/5 Fast shipping. Order on point weight wise. definitely more trim then shake/buds tho 135 days ago anon ~5/5, 25~40 deals 5/5 Gucci is a god, plain and simple 137 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"xTFSNuuLZ","2014-10-22","DrEarnhardt","5gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Every thing's OK good transaction, thanks ;-) 11 days ago anon 5.00/5, 25~40 deals 5/5 top transaction :) 14 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"zxJECEcJc","2014-10-22","DrEarnhardt","25gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 VERY FAST DELIVERY TO GERMANY(3days)! QUALITY IS GOOD! 19 days ago anon 5.00/5, 40~55 deals 5/5 incredible stuff would definately not consider it shake its far above that. second order from Dr.E and perfect again 35 days ago anon ~5/5, 6~10 deals 5/5 Still perfect seller! 36 days ago anon ~5/5, 6~10 deals 5/5 smells dank for shake 52 days ago anon 5.00/5, 40~55 deals 5/5 Communication was bad, but the Stuff arrived! Trim is exact 25g, strong grinded, but smell is good. Thank you :) 205 days ago anon ~5/5, 15~25 deals 5/5 5/5 Excellent as always! 213 days ago anon ~5/5, 15~25 deals 5/5 Excellent product, great quality smoke and vendor 214 days ago anon ~5/5, 15~25 deals 5/5 Very happy with my 2nd order, nice mild high :) 216 days ago anon ~5/5, 10~15 deals 5/5 all good and 10% overweight! 217 days ago anon ~5/5, 40~55 deals 5/5 All good, 10 days to U.K 231 days ago anon ~5/5, 25~40 deals 5/5 Nice stuff - good stealth nice smoke 234 days ago anon ~5/5, 1~2 deals 5/5 This is much better than you think, not normal leafy stuff that tastes like grass from the garden...THIS IS REALLY NICE ..PROPE 246 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FuCewZBGr","2014-10-23","DrEarnhardt","100gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Perfekt 7 days ago anon ~5/5, 3~5 deals 5/5 Good smoke, good weight great deal! very happy :) 236 days ago anon 5.00/5, 40~55 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"iTbRXFdX","2014-10-23","DrEarnhardt","50gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Nice product for a good price and overweight Thanks DrEarnhardt 207 days ago anon 5.00/5, 25~40 deals 5/5 One more perfect transaction with Great Vendor! Thank you so much Doktor! 10/5 for all 211 days ago anon ~5/5, 10~15 deals 5/5 Arrived to Germany in 3 business days. Good smoke, great bang for the buck. Was 54.1 grams including packaging. 212 days ago anon ~5/5, 10~15 deals 5/5 Great Stealth and great product +++ 212 days ago anon ~5/5, 1~2 deals 5/5 Perfect seller! 213 days ago anon ~5/5, 6~10 deals 5/5 This time the package never arrived. But the seller sent me the refund immediately after my request. I would order again. 225 days ago anon ~5/5, 6~10 deals 5/5 EXCELLENT! 230 days ago anon ~5/5, 15~25 deals 5/5 quick delivery. this shake is top notch smoke smells like Amsterdam...And for the price there is nothing that comes close...Tha 239 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"jCaeepBzA","2014-10-23","drugsRus","5g AK47 Shake","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Perfect! Next day delivery, great product and stealth. Would definitely order again. thanks. 0 days ago anon 6~10 deals "," UK ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
