"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"JPToZcPBD","2014-02-23","ermahgerddrugs","(1) 35mg+ Amphetamine Sulfate (cap form)","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Awesome product that is hard to find domestically and they sent me a freebie! This vendor is legit, and I will be back soon. T 6 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"LFBdbsvvZe","2014-02-23","silkyjohnson","30 mg BARR Adderall $10 each","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Great seller very happy! 0 days ago anon ~5/5, 3~5 deals 5/5 The coolest seller shipped very quick, great stealth and he even gave a little extra. 0 days ago anon ~5/5, 3~5 deals 5/5 Exceptional all around. Just the type of vendor a person is looking for to be able to trust! Same pills I can get in my pharmac 1 days ago anon ~5/5, 1~2 deals 5/5 -----BEGIN PGP MESSAGE----- Version: GnuPG v1.4.12 (MingW32) hQEMA+vW1OxXDPFMAQf/ZZWLqcXE9CZ97RsohNFA90jD9x7fp6oxqCWUWvqhtW 1 days ago anon [0 deals] "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"lFhWKdUuSB","2014-02-23","silkyjohnson","30 mg BARR Adderall $20","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 perfect 2 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"LmAkkLuqgA","2014-02-23","omooq","5 x 5mg Dexamphetamine Pills  (Australia)","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 No problems at all. Thanks mate 2 days ago anon ~5/5, 1~2 deals 5/5 FE for trusted vendor - Will update on arrival. 2 days ago anon [0 deals] "," Australia ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"mwakqBj","2014-02-23","AstroHaven","x10 Speed Tablets ~ 60mg Adderall Equivalent ~ $7/e","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 excellent vendor, very fast transaction, good stealth 3 days ago anon 5.0/5, 10~15 deals "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"STXouJcav","2014-02-23","Flyfelix","Ritalin IR 10 pills 20mg - in blisters","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Arrived in 2 Days in France !! faster than my local post service !!! thank tou 1 days ago anon ~5/5, 1~2 deals "," EU ","EU, CH, Scandinavia
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"tUsYdxfjK","2014-02-23","TestSubject","Subutex - Buprenorphine 8mg x 1","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Perfect! 0 days ago anon ~5/5, 3~5 deals 5/5 Great Stealth! 0 days ago anon ~5/5, 6~10 deals 5/5 Great Seller! Highly Recommended! Order with Confidence! 0 days ago anon ~5/5, 1~2 deals "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"xJfGqgAgw","2014-02-23","DrEarnhardt","Ritalin """"""""Methylphenidate"""""""" 10 x 10mg Tablets Genuine Product Comes In Blister","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 FE for trusted vendor - arrived safe 5 working days across EU 0 days ago anon ~5/5, 1~2 deals 5/5 FE, will update my review, when the tablets arrive. 4 days ago anon [0 deals] "," Netherlands ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"YruBLcJmw","2014-02-23","GrandWizardsLair","10 Armodafinil 150 (Wakalert) -- The Grand Wizard's Study Buddy Special","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Wonderful seller! Great communication, fast and very pleasant!!! 1 days ago anon ~5/5, 1~2 deals 5/5 perfect perfect perfect 6 days ago anon ~5/5, 3~5 deals 5/5 Got the product via first class mail. Seller was prompt, and courteous. All you can ask for. Will do business with seller again 6 days ago anon ~5/5, 1~2 deals "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"aKzvLgJ","2014-02-24","TestSubject","Subutex - Buprenorphine 8mg x 2","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 This vendor is absolutely great, so reliable, like the sun rising in the east and setting in the west, order, ship, receive, fi 0 days ago anon ~5/5, 1~2 deals 5/5 this guy/girl is a pro. awesome packaging, very fast shipping, excellent to deal with. dont hesitate to order if youre thinking 1 days ago anon ~5/5, 1~2 deals 5/5 Perfect! 2 days ago anon ~5/5, 3~5 deals 5/5 Shipped fast, great stealth, product arrived as described, thank you! Would order again for sure. 3 days ago anon ~5/5, 1~2 deals 5/5 Perfect transaction. Quality product, quick delivery, & stealthy. Will be back. Thanks 5 days ago anon ~5/5, 1~2 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AKtjBrzdba","2014-02-24","swissweed","Ritalin LA 20 mg","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 FE, will update as soon as it arrives 0 days ago anon [0 deals] 5/5 Really fast shipping and good quality! Trusted vendor! Will come back for more... 3 days ago anon ~5/5, 1~2 deals 5/5 Perfect! 3 days ago anon ~5/5, 1~2 deals "," Switzerland ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"gizwzGv","2014-02-24","TestSubject","Subutex - Buprenorphine 8mg x 5","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Best vendor around. Best stealth, best communication, and shipping times are awesome too. Will definitely be back to order agai 1 days ago anon ~5/5, 1~2 deals 5/5 Perfect! 2 days ago anon ~5/5, 3~5 deals 5/5 Will always be a repeat customer. Freshest product around. PERFECT, FLAWLESS, IMMACULATE vendor. Thanks again TSsrx!!! 2 days ago anon ~5/5, 1~2 deals 5/5 AAA+ Quick shipping, Great stealth. Overall just a great vendor all around. Thank You 2 days ago anon [0 deals] 5/5 Great seller! super fast shipping and great communication! 4 days ago anon ~5/5, 1~2 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"gMmPuTCs","2014-02-24","Kyohkain","5x Adderall 10mg IR","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Thanks! 4 days ago anon [0 deals] "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"LmAkkLuqgA","2014-02-24","omooq","5 x 5mg Dexamphetamine Pills  (Australia)","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 No problems at all. Thanks mate 3 days ago anon ~5/5, 1~2 deals 5/5 FE for trusted vendor - Will update on arrival. 3 days ago anon [0 deals] "," Australia ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
