"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"LuqgYYhZ","2014-01-26","SweetMeats","free candy","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Stealth was up to par. Shipping took around a week. The Chocolate bar itself is amazing, tastes really good and has great medic 0 days ago anon [0 deals] 5/5 GREAT VENDOR! The C&C Bar tastes & smells amazing. High quality. Fast & careful shipping. Highly recommended. 2 days ago anon ~5/5, 1~2 deals 5/5 stealth 5/5 and was a pleasant surprise having it arrive at 4:20 EST haha ;) 2 days ago anon ~5/5, 3~5 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"rpFasmNyr","2014-01-26","medibuds","5 bhang bars double strength caramel","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Medibuds is the best! Fast shipping and great product!! 1 days ago anon [0 deals] ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"rxhLzLxVb","2014-01-26","Lion","1 Deca Dose Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Smooth quick, quick shipping , A+ 4 days ago anon ~5/5, 6~10 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"SroYzLh","2014-01-26","Lion","200mg Dabby Nut Rolls","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Order arrived very fast and as advertised. I'll use this vendor again. 2 days ago anon ~5/5, 3~5 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tpbjmgh","2014-01-26","Lion","FireBerry Incredibles Bars, 300mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Apparently I have Amazon Prime on here as well, because that shit arrived faaast! 5/5 all around, these guys are pros. 5 days ago anon ~5/5, 1~2 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"TgxsrhVK","2014-01-26","joeybagadonuts","BAG of 10  CHOCOLATE THC CANDIES  assorted shapes and sizes","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Knows as Thegoods from other markets for people not familiar. Producers of the best bud and edibles you can find anywhere. Abso 4 days ago anon ~5/5, 3~5 deals ","
       USA
      ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"wfMrEpTtm","2014-01-26","Lion","1 BlueKudu Chocolate, 11 doses!!!","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 AWESOME SELLER!!! Everything was there that was supposed to be. edibles are pretty damn good 2 days ago anon ~5/5, 1~2 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"YtvGdoriy","2014-01-26","Lion","1 Boulder Incredibles Bar, 100mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 3 days ago anon ~5/5, 1~2 deals 5/5 Arrived fast and just as ordered. Good stealth. 0 days ago anon ~5/5, 3~5 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"ZuYtvaGh","2014-01-26","Eos","New Vendor Fire Sale: 1 Quad Dose Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Arrived quickly. Clever stealth. Arrived in 3 days to eastern US 1 days ago anon [0 deals] 5/5 Great product, vendor, and customer service. A++ 4 days ago anon ~5/5, 6~10 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"aPqlDBEU","2014-02-02","medibuds","Bhang Bar Cookies and Cream Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 quick and professional 2 days ago anon [0 deals] 5/5 On time as always 3 days ago anon [0 deals] "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"bfddimMmqW","2014-02-02","joeybagadonuts","1 CHOCOLATE THC pop-100mg+THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 WOW! These chocolate pops are strong! A nice home made edible. Tastes great to! 0 days ago anon ~5/5, 6~10 deals 5/5 Order arrived. Well-sealed and good stealth. legit vendor! Letting the pop chill in the fridge for a bit then gonna try tonite 2 days ago anon ~5/5, 1~2 deals 5/5 Saving for the weekend. 4 days ago anon ~4/5, 3~5 deals "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eMtrFjdGfu","2014-02-02","medibuds","Bhang Bar Peppermint Ice Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 I have been dealing with this vendor for a few months now and has yet to disappoint me. One of the best vendors around period! 4 days ago anon [0 deals] 5/5 SUPER Fast Shipping. Great Product. Happy. Will Order again. 4 days ago anon [0 deals] 5/5 This guy is 100% 2 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eulVnxYLpc","2014-02-02","medibuds","Bhang Bar Pretzel Peanut Butter Double Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Order came right on time and product is great. 3 days ago anon [0 deals] "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FyErLd","2014-02-02","Lion","250mg Sweet'n Sour","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fantastic shipping! Came in perfectly and very, very pleased! 4 days ago anon ~5/5, 6~10 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FkZUxJRmx","2014-02-02","SweetMeats","100mg infused hash chocolate covered oreo","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Came in fantastically, can't wait to try it! 3 days ago anon ~5/5, 6~10 deals "," From: USA To: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FwTbSqvDF","2014-02-02","Lion","1 Peach Incredibles Bar, 100mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 3 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"gRpLSNvqY","2014-02-02","Lion","Toffee Bhang Chocolate, Double Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 As described, good packaging, quick shipping. I'm a happy customer. 2 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
