"from","to","great","good","ok","poor","horrible","worst","none","year","month","day","gold.oz"
"china","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","17",1238.3
"netherlands","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","30",1200.2
"canada","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","10","24",1231.2
"no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","29",1224.3
"netherlands","worldwide except australia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","07",1169.6
"worldwide","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","08","15",1304.5
"belgium","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","27",1188.8
"australia","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","06",1206.7
"worldwide","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","07","21",1313.7
"no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","07",1169.6
"usa","usa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","10","22",1244.8
"usa","usa only",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","07","21",1313.7
"no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","18",1196.7
"germany","europe",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","12",1222
"germany","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","10","28",1229.2
"australia","australia only",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","13",NA
"spain","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","24",1195.5
"canada","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","02",1199.2
"india","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","27",NA
"uk","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","10",1228.9
"no info","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","27",1188.8
"usa","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","17",1183
"usa","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","30",NA
"ukraine","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","11",1225.1
"uk","uk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","09","12",1229.9
"eu","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","19",NA
"no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","27",1229.1
"australia","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","09","15",1233.6
"worldwide","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","06",1206.7
"belgium","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","18",1196.7
"netherlands","eu only",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","16",NA
"canada","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","02",NA
"australia","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","13",1161.1
"australia","australia",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","10","27",1229.1
"germany","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","03",1169.4
"usa","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","07",NA
"usa","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","06",NA
"china","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","05",1190.1
"australia","australia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","23",1228.5
"netherlands","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","17",1238.3
"uk","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","30",NA
"no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","23",1177.9
"germany","eu except outside, norway, finland",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","15",1207.2
"no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","09",1231.5
