"list","date","vendor","product","price","usd","rate","cat","subcat","subsubcat","feedback","from","to","great","good","ok","poor","horrible","worst","none","year","month","day","gold.oz"
"2014-12-01__DngNkMx38y.html","2014-12-01","blackhand","Hacking Matter: Levitating Chairs, Quantum Mirages, and the Infinite Weirdness of Programmable Atoms",0.00396961,1.5030531304,378.64,"Information","eBooks",NA," Feedbacks: 5/5 170 days ago anon 5.00/5, 40~55 deals 5/5 Awesome. Thanks! 217 days ago anon 5.00/5, 40~55 deals ","internet","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","01",1218
"2014-11-17__DR976DWGbv.html","2014-11-17","profesorhouse","EARN BIG -  Make $500+ per day with CPC - Noob friendly",0.23607884,91.0933812024,385.86,"Information","Guides",NA," Feedbacks: No feedbacks found. ","belgium","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","17",1183
"2014-10-25__rixoSp01j1.html","2014-10-25","HollandDutch","200 XTC pills, White Domino's 220mg+",1.98719048,687.7864970328,346.11,"Drugs","Ecstasy","Pills"," Feedbacks: No feedbacks found. ","netherlands","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","25",NA
"2014-11-12__ks5xcKT4aB.html","2014-11-12","etimbuk","Where to buy Paypal Transfers w/cashout Updated list 10/14",0.00262618,1.1220091432,427.24,"Other",NA,NA," Feedbacks: No feedbacks found. ","no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","12",1158.9
"2014-07-18__aPlZ3i1jJ5.html","2014-07-18","fake","TIPS FOR CARDING SAFELY",0.00159841,1.0041531302,628.22,"Information","Guides",NA," Feedbacks: 3/5 guide basically consisted of 'don't be dumb' and 'use your best judgment' type of tips.. not worth it imo! although seller was 152 days ago anon ~5/5, 1~2 deals 5/5 Great seller, OK material. 158 days ago anon ~5/5, 3~5 deals 5/5 Great seller 168 days ago anon ~5/5, 3~5 deals 5/5 Great deal. 5 168 days ago anon ~5/5, 3~5 deals 5/5 5/5 171 days ago anon 5.00/5, 10~15 deals ","no info","no info",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"2014","07","18",1309.2
"2014-11-15__eiLUeZm1Zx.html","2014-11-15","Bigdeal100","Canada Goose Casual jackets replica-225",0.34251989,128.4894863357,375.13,"Counterfeits","Clothing",NA," Feedbacks: No feedbacks found. ","no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","15",NA
"2014-12-24__SRjWsSCfE1.html","2014-12-24","profesorhouse","Custom amazon for Kuri - Nexus",1.11279404,358.1861455952,321.88,"Services","Money",NA," Feedbacks: No feedbacks found. ","belgium","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","12","24",1173.5
"2014-09-22__a106xKNspW.html","2014-09-22","Bigdeal100","CAVALLI  Summer wear men's short sleeve T-shirt  CAV4-46",0.13882123,55.3744004347,398.89,"Counterfeits","Clothing",NA," Feedbacks: No feedbacks found. ","china","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","09","22",1216.8
"2014-08-15__pUd4MngN1q.html","2014-08-15","BigBoy","2C-B powder SAMPLE 1 point FREE POST",0.10256397,50.9353187814,496.62,"Drugs","Psychedelics","2C"," Feedbacks: 5/5 Arrived day after ordering. Great packaging. Yet to test, but looks good. 1 days ago anon ~5/5, 10~15 deals 5/5 Very quick deivery, good stealth & nice 2c-b. Would buy again. 7 days ago anon 5.00/5, 25~40 deals 5/5 Super fast delivery, looks the goods, will try tonight. 18 days ago anon ~5/5, 3~5 deals 5/5 Quick, amazing stealth. Looking forward to trying product! 19 days ago anon 3~5 deals 5/5 a++ next day delivery and slightly overweight cheers 36 days ago anon ~5/5, 10~15 deals ","australia","australia",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","08","15",1304.5
"2014-11-02__ZBZuDzc7mk.html","2014-11-02","RXChemist","Tadalfil 60mg 100 Pills $50",0.15394088,49.8368204912,323.74,"Drugs","Prescription",NA," Feedbacks: No feedbacks found. ","no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","02",NA
