"list","date","vendor","product","price","usd","rate","cat","subcat","subsubcat","feedback","from","to"
"2014-10-14__dyFTyfzBW5.html","2014-10-14","the_real_caliconnect","Caliconnects GH HP Green Crack 1k! FROST ON FROST",2.45092032,977.2064407872,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Always FE for CC!!!! 39 days ago anon ~5/5, 25~40 deals 5/5 this stuff is awesome though, nice sized nugs smells and looks great just wish the grapefruit was as worth the $$$ 53 days ago anon ~5/5, 10~15 deals 5/5 fire!!! CC is the best plug for bulk green on the internet hands down 53 days ago anon ~5/5, 15~25 deals 5/5 fucking FIRE. frosty as shit, purple specs, slightly leafy, slight. Cant beat price. 53 days ago anon ~5/5, 15~25 deals 5/5 Received the Cherry Pie from last week. Cali reimbursed me in a swift manner. Great vendor. Thanks! 57 days ago anon 5.00/5, 15~25 deals 5/5 No doubt always FE for my bro CC!! 57 days ago anon ~5/5, 25~40 deals 5/5 flame i like these packs 58 days ago anon ~5/5, 15~25 deals 5/5 In CC we trust! :-D 58 days ago anon ~5/5, 25~40 deals ","uk, usa& worldwide","no info"
"2014-10-14__gmBVu5KiGl.html","2014-10-14","budbrother","5 regular seeds - Skunk Kush - pain relief",0.06574276,26.2122958396,398.71,"Drugs","Cannabis","Seeds"," Feedbacks: 5/5 105 days ago anon ~5/5, 1~2 deals 5/5 Awesome vendor. Super quick and the best service. Thanks BB 269 days ago anon 5.00/5, 40~55 deals ","uk, usa philippines","no info"
"2014-10-14__Jhr2tbqSlM.html","2014-10-14","OzGrow","OzGrow's Gold Standard *1 oz = 28Grams*",0.92153765,367.4262764315,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 All fives as usual 11 days ago anon ~5/5, 1~2 deals 5/5 Excellent customer service and communication. Wonderful product. OG continues to impress. 20 days ago anon 5.00/5, 10~15 deals 5/5 Best weed available and great service 21 days ago anon ~5/5, 1~2 deals 5/5 good as always. cheers 23 days ago anon ~5/5, 6~10 deals 5/5 Fantastic! The best that money can buy! 56 days ago anon 5.00/5, 10~15 deals 5/5 Great service as always, Thanks! 61 days ago anon ~5/5, 1~2 deals 5/5 Great stealth, awesome high, excellent vendor! 62 days ago anon ~5/5, 6~10 deals 5/5 Fantastic as always! Reliable, fast, good quality. 69 days ago anon 5.00/5, 10~15 deals 5/5 5/5 again. Stealth, speed, product all perfect. Best vendor with best bud 73 days ago anon 5.00/5, 15~25 deals 5/5 beautiful. 81 days ago anon ~5/5, 1~2 deals 5/5 as always-top notch heavy duty indica,delivered on time with the best stealth you'll get on the darknet.i've tried the rest but 89 days ago anon ~5/5, 3~5 deals 5/5 Great service as usual. Thanks! 90 days ago anon ~5/5, 1~2 deals 5/5 Some delivery delays but they sorted it out and the stuff looks great 118 days ago anon ~5/5, 3~5 deals 5/5 No shit, you can't go wrong with these guys. Thanks OzGrow, and thanks Agora. 133 days ago anon ~5/5, 3~5 deals 5/5 FE'd and arrived with great speed. Vendor has excellent communication and product is top knotch. I'll be back for sure 167 days ago anon 5.00/5, 15~25 deals 5/5 Once again great product, great stealth, quick postage! Never disappoints 167 days ago anon ~5/5, 15~25 deals 5/5 Don't like to FE, but have done many deals with them, and as usual all went well 174 days ago anon ~5/5, 1~2 deals 5/5 Great sellers, brilliant packaging for stealth. 185 days ago anon ~5/5, 15~25 deals 5/5 Top shelf as always. Will be back for more! 189 days ago anon 5.00/5, 10~15 deals 4/5 2 day delivery, decent stealth. Gear weighed under (only slighlty) but was a little damp so when dried out weighed even less. 193 days ago anon [0 deals] ","uk, usa philippines","australia only"
"2014-10-14__tF0GXsj7CD.html","2014-10-14","SunnySouthAfrica","1g SAMPLE Lesotho Rare Sativa Bud High Grade Outdoor African Weed",0.02342468,9.3396541628,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 A+. Great stealth. Quick delivery 141 days ago anon ~5/5, 15~25 deals 5/5 Trade ok. Weed very seedy & quality seems low, I'd be hesitant if I were to sell it, but it should be smokeable enough for me. 213 days ago anon ~5/5, 3~5 deals 5/5 received in 12 days to the west coast USA. super positive experience. this is exactly what I've been looking for! will definite 223 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","no info"
"2014-10-14__ZsU2Ax5CEc.html","2014-10-14","the_real_caliconnect","Caliconnects GH HP Krypto Kush 850",2.08328227,830.6254738717,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Arrived in 3 days. Consistent in quality with what I've gotten before for 850, def doubled up. White shirt too! 53 days ago anon 5.00/5, 40~55 deals 5/5 59 days ago anon 5.00/5, 55~70 deals 5/5 Cali Birds.. You the real plug 59 days ago anon ~5/5, 15~25 deals 5/5 Thanks for the shirt, good stuff for price. 60 days ago anon 5.00/5, 25~40 deals 5/5 boom!ready for more=] 5/5!! 60 days ago anon ~5/5, 40~55 deals 5/5 Great for the price 62 days ago anon 5.00/5, 25~40 deals 5/5 FE. I hope its not some stupid shit and I can actually sell the qp for 800 in my area. If so I'll be back for sure. 62 days ago anon 3~5 deals 5/5 Always FE for CC!!! 64 days ago anon ~5/5, 25~40 deals 5/5 64 days ago anon ~5/5, 25~40 deals 5/5 FE for my boy. 64 days ago anon 5.00/5, 25~40 deals 5/5 FE for my boy. 64 days ago anon 5.00/5, 25~40 deals ","uk, usa philippines","no info"
"2014-10-17__KngLB3YS0s.html","2014-10-17","Perron","0.5 Gram High Quality Dutch MDMA[83%] *FULL ESCROW* SAMPLE",0.01978891,7.5280971422,380.42,"Drugs","Ecstasy","MDMA"," Feedbacks: 5/5 Everything good & quick delivery, A++ 4 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","europe"
"2014-10-17__saq681A9N9.html","2014-10-17","PleasureNator","Micron Filter",0.00783269,2.9797119298,380.42,"Drugs","Prescription","NA"," Feedbacks: 5/5 thanks mate 31 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","worldwide"
"2014-10-19__crfy6PlLAS.html","2014-10-19","wakeside917","Boardwalk Empire Seasons 1-4 (AVI)",0.02554343,9.8748346037,386.59,"Data","Pirated","NA"," Feedbacks: 5/5 Always reliable, thank you 148 days ago anon ~5/5, 25~40 deals ","uk, usa philippines","no info"
"2014-10-19__fxzuuvWY6o.html","2014-10-19","captainkirk","Origins: The Quest for Our Cosmic Roots",0.00252557,0.9763601063,386.59,"Information","Guides","NA"," Feedbacks: 5/5 Arrived fast. Thanks 72 days ago anon ~5/5, 15~25 deals 5/5 83 days ago anon ~4/5, 40~55 deals 5/5 This book is amazing, thank you 128 days ago anon 5.00/5, 15~25 deals 5/5 141 days ago anon 5.00/5, 100~150 deals 5/5 Good information :) 141 days ago anon 5.00/5, 25~40 deals ","uk, usa philippines","everywhere"
"2014-10-19__hxeht7CbTt.html","2014-10-19","captainkirk","PALADIN PRESS LIBRARY BOOK COLLECTION - BOMBS - SURVIVAL - WEAPONS",0.00252557,0.9763601063,386.59,"Information","eBooks","NA"," Feedbacks: 5/5 Quickest. 0 days ago anon 3~5 deals 5/5 informative books. thanks Captain !!! 9 days ago anon ~5/5, 15~25 deals 5/5 A+ Thanks 44 days ago anon ~5/5, 15~25 deals 5/5 Too nuch to read 70 days ago anon ~5/5, 6~10 deals 5/5 great service.. great products.. great price... will be ordering more...thanks 85 days ago anon ~5/5, 6~10 deals ","uk, usa philippines","everywhere"
"2014-10-19__JkuKVVlSBj.html","2014-10-19","Hackyboy","2 x VISA PLATINIUM UK CC",0.23225806,89.7886434154,386.59,"Services","Money","NA"," Feedbacks: 5/5 Update as promised, I got my refund in 1 day on a wrong order. Great respectful vendor, need more guys like him! 130 days ago anon ~5/5, 10~15 deals ","uk, usa philippines","no info"
"2014-10-19__mfCB4qkks5.html","2014-10-19","stickyHash","0.5 Gr. Premium Cannabis Concentrate (Wax)",0.08955758,34.6220648522,386.59,"Drugs","Cannabis","Concentrates"," Feedbacks: 5/5 perfekt !!! 3 days ago anon ~5/5, 10~15 deals 5/5 Very fast and very good product. Combined shipping would be very appreciated. 13 days ago anon 5.00/5, 25~40 deals ","uk, usa philippines","worldwide"
"2014-10-19__uVsKiJ77Jj.html","2014-10-19","DrEarnhardt","10gr OG Kush (indoor) A+++",0.28795474,111.3204229366,386.59,"Drugs","Cannabis","Weed"," Feedbacks: 4/5 Never receved, refunds 10% 39 days ago anon ~5/5, 15~25 deals 5/5 Everything perfect ! I will come back ! :) 50 days ago anon ~5/5, 10~15 deals 5/5 Fantastic!!! 61 days ago anon 5.00/5, 25~40 deals 5/5 very helpful vendor, fast shipping and really good product. 74 days ago anon ~5/5, 10~15 deals 5/5 5 days to UK, perfect weight and amazing bud 77 days ago anon ~5/5, 10~15 deals 5/5 Fast delivery good quality 84 days ago anon 1~2 deals ","uk, usa philippines","worldwide"
"2014-10-19__Ya8BPRWrNs.html","2014-10-19","GoingPostal","10.0 GRAMS MDA CRYSTAL - REAGENT TESTED",1.21294144,468.9110312896,386.59,"Drugs","Ecstasy","MDA"," Feedbacks: 5/5 Finalize your order for Going Postal, Money talks bullshit walks. Trusted Vendor. 54 days ago anon ~5/5, 6~10 deals 3/5 looks nothing like the picture, still has a racy type of feel to it. all white powder, some in chunks. not sure if its actually 100 days ago anon ~2/5, 15~25 deals 5/5 Product looks superb. Very fast shipping to EU. No FE even without tracking to overseas. Stealth good but not perfect (when ope 205 days ago anon [0 deals] ","uk, usa philippines","worl"
"2014-10-20__C9Fr1MnCsq.html","2014-10-20","Medibank","10 x White Banana Ecstasy Pills",0.49144196,186.4383363652,379.37,"Drugs","Ecstasy","Pills"," Feedbacks: 5/5 awesome vendor, great stealth, amazingly fast shipping and a pleasure to deal with. assuming pills are as good as the last batc 72 days ago anon ~5/5, 10~15 deals 5/5 Generous seller, one pill arrived crushed and the seller refunded for one and promised another next time. Good pills also, very 76 days ago anon ~5/5, 15~25 deals 5/5 Great product great vendor 79 days ago anon ~5/5, 15~25 deals 5/5 top seller! top pills! 83 days ago anon 6~10 deals 5/5 10/10 supastar sellr 94 days ago anon 5.00/5, 15~25 deals 5/5 Top Vendor 95 days ago anon ~5/5, 15~25 deals 5/5 I am speechless. Yet to try product but Medi is seriously an A+ vendor. Thanks mate. 95 days ago anon 5.00/5, 15~25 deals ","uk, usa philippines","australia"
"2014-10-20__hbipuBlJoc.html","2014-10-20","pharmacy_land","Genuine OxyContin 20mg tablet",0.08300907,31.4911508859,379.37,"Drugs","Prescription","NA"," Feedbacks: 5/5 This guys is tops 143 days ago anon 5.00/5, 25~40 deals 5/5 Thanks you very kindly. These will help with my pain that doctors believe I am faking. 143 days ago anon 5.00/5, 15~25 deals 5/5 Fastest delivery I've ever had, excellent stealth, and product still in blister. Highly recommend this vendor. 144 days ago anon ~5/5, 40~55 deals 5/5 order arrived next day as promised. excellent communication. thank you pl 150 days ago anon ~5/5, 3~5 deals ","uk, usa& worldwide","australia only"
"2014-10-20__JdBSzyvtFh.html","2014-10-20","Christy_Nugs","3/4 oz indoor blue dream",0.45604758,173.0107704246,379.37,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 It doesn't get any better than this. 10/5 all around fantastic! Thank you so much! 111 days ago anon 5.00/5, 15~25 deals ","uk, usa philippines","usa"
"2014-10-20__k6oq8EX3b6.html","2014-10-20","CokeDirectUK","A+ Cocaine 1.75g",0.68051667,258.1676090979,379.37,"Drugs","Stimulants","Cocaine"," Feedbacks: 5/5 Vendors are sound as and they have good products! 32 days ago anon 4.90/5, 70~100 deals 5/5 early FE 45 days ago anon ~5/5, 6~10 deals 5/5 NDD, Excellent product. Highly recommend! 66 days ago anon 1~2 deals ","uk, usa philippines","uk"
"2014-10-20__UG4jixgXn4.html","2014-10-20","DrDankBud","Custom - Charisma",0.06528949,24.7688738213,379.37,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Awesome product! Fast shipping. Honest vendor...will certainly return. Thanks! 53 days ago anon 1~2 deals ","uk, usa philippines","no info"
"2014-10-20__x3dMK2eAmi.html","2014-10-20","CZmadeMan","6) 10.0g Titan OG, Indoor (High Quality +++)",0.28120765,106.6817461805,379.37,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Perfect 11 days ago anon ~5/5, 10~15 deals 5/5 Very fast, top quality product and honest seller(finalized order early by mistake and he still delivered). Definitely recommend. 20 days ago anon 1~2 deals ","uk, usa philippines","no info"
"2014-10-22__FrFeFSgyZA.html","2014-10-22","Gotmilk","100 tabs ZOLPIDEM 10MG AMBIAN-10MG CIPLA $100",0.26174584,99.227847944,379.1,"Drugs","Prescription","NA"," Feedbacks: 5/5 Goatmilk is the man...Namaste 55 days ago anon ~5/5, 10~15 deals 5/5 No issues FE with this vendor - has been professional for multiple transactions 61 days ago anon ~5/5, 6~10 deals 5/5 win 72 days ago anon 6~10 deals 2/5 **received half the order, gave half the feedback, waiting for reslolution.** 95 days ago anon ~5/5, 25~40 deals 5/5 Super fast delivery! I don't like to FE because the package was received with no stealth and that's not good these days. Otherw 125 days ago anon ~5/5, 15~25 deals 5/5 Received order. Shipped fast and arrived in good shape. Great quality! 202 days ago anon ~5/5, 3~5 deals ","uk, usa philippines","no info"
"2014-10-22__k2Mgvku6FL.html","2014-10-22","everythingman","50g Na-GHB Powder",0.22239665,84.310570015,379.1,"Drugs","Dissociatives","GHB"," Feedbacks: 5/5 Fast delivery, nice stuff and a top seller. Thanks! 34 days ago anon ~5/5, 3~5 deals 5/5 Thanks, package arrived. Will definitely do business again. 42 days ago anon ~5/5, 3~5 deals 2/5 Nothing received. Disappointed 82 days ago anon ~5/5, 15~25 deals 5/5 Fast shipping and ninja stealth as promised. I've not tested the product yet 82 days ago anon 5.00/5, 25~40 deals 5/5 Vendor processed the order very quickly, he also replied to some worries I had. The product is as ordered. 100 days ago anon 1~2 deals 5/5 All went perfect 117 days ago anon 1~2 deals 5/5 got it good stealth thank you 125 days ago anon 6~10 deals ","uk, usa philippines","world"
"2014-10-22__gYluEEcr86.html","2014-10-22","Purista","Quarter pound of shrooms with escrow AND FREE SHIPPING",1.25634717,476.281212147,379.1,"Drugs","Psychedelics","Mushrooms"," Feedbacks: 5/5 Second order, Purista means it when he says he hooks it up! super fast and stealth is on point. These boomers are FIRE! 0 days ago anon ~5/5, 6~10 deals 5/5 Wow! Arrived in 2 business days to East US. Overweight by about 1/4 OZ. Thanks will definitely do business again. 0 days ago anon ~5/5, 10~15 deals 5/5 5/5 2 days ago anon ~5/5, 10~15 deals 5/5 Great vendor, fantastic stealth and shipping time. Very fat hook up, mostly caps. I cant recommend this vendor enough. My one a 2 days ago anon 6~10 deals ","uk, usa philippines","no info"
"2014-10-22__nfDz8RkGZZ.html","2014-10-22","Budworx","*STAR QUALITY - MDMA CRYSTAL- PREMIUM UNCUT*** *90.2% - 0.5 Grams",0.08359893,31.692354363,379.1,"Drugs","Ecstasy","MDMA"," Feedbacks: 0/5 SCAMMER! The fucker said he'd reship 50% on my next order - THAT DIDN'T SHOW EITHER! Spend your BTC elsewhere. 6 days ago anon ~0/5, 3~5 deals 5/5 FE For trusted 10 days ago anon 6~10 deals 5/5 Fast & top-notch stealth ;-) 13 days ago anon ~5/5, 25~40 deals 5/5 Very sorry for late finalize. Great stuff quick deliver 39 days ago anon ~5/5, 10~15 deals 5/5 52 days ago anon ~5/5, 6~10 deals 5/5 great product, highly recommended 56 days ago anon ~5/5, 15~25 deals 5/5 A+ 61 days ago anon 6~10 deals 5/5 Very quick + discrete post. product looks good! 61 days ago anon 3~5 deals 5/5 Awesome quality stuff and best delivery time! 82 days ago anon ~4/5, 6~10 deals 5/5 Impressed with efforts put in packaging! The product feels great as well! 90 days ago anon 6~10 deals 5/5 5/5 stealth, delivery time & quality - Didn't weigh but looks sweet :) 96 days ago anon ~5/5, 6~10 deals 5/5 Great service, thank you 97 days ago anon 1~2 deals 5/5 Ordered a few weeks ago with BUD, there was a mix up with the order and BUD was very quick to rectify the problem. I'm happy to 98 days ago anon 6~10 deals 5/5 Tester went well. Perfect packaging FE with trust. 103 days ago anon 4.89/5, 55~70 deals 5/5 Excellent service, next day delivery, A++++ 123 days ago anon 3~5 deals 5/5 Super quick and exactly as advertised. 123 days ago anon 1~2 deals 5/5 Fast delivery, excellent stealth, looks and smells the real deal. 125 days ago anon ~5/5, 6~10 deals 5/5 5/5 for service. Ordered in morning It came next day. I've had to take a lot of the product to feel effects, but this is pro 130 days ago anon 3~5 deals 5/5 Good quality product, will buy again. 133 days ago anon 10~15 deals 5/5 As always great product, next day delivery and excellent stealth 141 days ago anon ~5/5, 10~15 deals ","uk, usa philippines","no info"
"2014-10-22__q3vDYxMxob.html","2014-10-22","MoodyMayhem","KIEF 1/4 LB",1.49525419,566.850863429,379.1,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 5/5 stealth, shipping time & over weight. Great vendor. 119 days ago anon ~5/5, 6~10 deals 5/5 Great smelling and looking kief. blasted and only got 5Gs back, but that's an insane return when you look at the price. cant fo 174 days ago anon 4.62/5, 10~15 deals ","uk, usa philippines","no info"
"2014-10-24__WfS5jR0X60.html","2014-10-24","xxSNOWxx","Top 120 darknet sites",0.01949209,6.9230056053,355.17,"Information","Guides","NA"," Feedbacks: 5/5 15 days ago anon ~5/5, 15~25 deals 5/5 Worth the price 45 days ago anon ~5/5, 6~10 deals ","uk, usa philippines","your pm"
"2014-10-25__dLlPnWT355.html","2014-10-25","BlueViking","25x LSD Blotters 140ug Swiss White Xtal",0.53469753,185.0641621083,346.11,"Drugs","Psychedelics","LSD"," Feedbacks: 5/5 Professional as advertised. Arrived in 3 business days. 186 days ago anon ~5/5, 3~5 deals 5/5 FE'd for tusted vendor, will update when everything arrives 191 days ago anon 5.00/5, 15~25 deals 5/5 So fast, so safely stealthy (though I knew it when I saw it), so so good. BV is the best!! 207 days ago anon 3~5 deals ","uk, usa philippines","worldwide"
"2014-10-25__FsR1BP2beT.html","2014-10-25","the_real_caliconnect","Caliconnects Indoor Fire OG Kush QP 700",2.03305161,703.6594927371,346.11,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 over 100 seeds in this QP of super funk but its super nice tho, they are germinating now :D More indoor plz! 160 days ago anon ~5/5, 15~25 deals 5/5 Hello cali is my plug 169 days ago anon 5.00/5, 25~40 deals 5/5 Hello cali is my plug 169 days ago anon 5.00/5, 25~40 deals 5/5 170 days ago anon 4.63/5, 55~70 deals ","uk, usa philippines","no info"
"2014-10-25__Vwl23DFClT.html","2014-10-25","StarDockGaLiX","Half OZ OG Super Silver Haze (14grams) A+++",0.40287769,139.4399972859,346.11,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 A+ very top quality weed! 96 days ago anon ~5/5, 6~10 deals ","uk, usa philippines","no info"
"2014-10-25__D1buj3t2Yq.html","2014-10-25","wakeside917","Gangland 1-85 (60GB)",0.03448771,11.9365413081,346.11,"Data","Pirated","NA"," Feedbacks: 5/5 Looks good, thanks! 38 days ago anon ~5/5, 25~40 deals 5/5 Great vendor, fast shipping of discs 240 days ago anon ~5/5, 10~15 deals ","uk, usa philippines","no info"
"2014-10-25__katsNw9VFD.html","2014-10-25","fake","HIGH LIMITS POLISH VISA - 5000 usd daily",0.62862531,217.5735060441,346.11,"Services","Money","NA"," Feedbacks: 5/5 Everything is perfect. Top notch vendor 10/10 74 days ago anon ~5/5, 6~10 deals 5/5 oopz 101 days ago anon 10~15 deals 5/5 Card as described, amazing service. Fake is the man. 102 days ago anon ~3/5, 3~5 deals ","uk, usa philippines","no info"
"2014-10-25__mLdwxXFaUi.html","2014-10-25","canadasunshine","100 mg Xanax Alprazolam Powder",0.2420819,83.786966409,346.11,"Drugs","Benzos","NA"," Feedbacks: 5/5 Excellent communication, unbelievably FAST arrival, perfect stealth, fantastic product and, last but certainly not least, excel 15 days ago anon ~5/5, 6~10 deals 5/5 27 days ago anon ~5/5, 15~25 deals 5/5 Fast shipping time (domestic), GREAT product! Thanks and thanks again! 70 days ago anon 1~2 deals 5/5 A+ Smooth transaction 74 days ago anon ~5/5, 25~40 deals 5/5 good stuff, good stealth, quick delivery 79 days ago anon ~5/5, 6~10 deals 5/5 133 days ago anon ~5/5, 10~15 deals 5/5 Flawless transaction. Thanks 177 days ago anon ~5/5, 10~15 deals 5/5 everyone should use this vendor 191 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","no info"
"2014-10-25__pNj6inrbyC.html","2014-10-25","ImportDirect","ImportDirect presents PAKISTANI A++ Hash- $26.49/g FULL ESCROW",0.07638188,26.4365324868,346.11,"Drugs","Cannabis","Hash"," Feedbacks: 5/5 FE To help out thanks again cant wait Will Update ASAP 1 days ago anon ~5/5, 6~10 deals 5/5 Great stealth and great high 2 days ago anon ~5/5, 6~10 deals 5/5 Excellent Vendor. Great communication, Superb Product, and excellent stealth. 5/5 65 days ago anon ~5/5, 6~10 deals 5/5 took some time but worth it. thanks! 65 days ago anon ~5/5, 15~25 deals 5/5 product arrived in 3 days, everything in excellent order, Thanks ID! 71 days ago anon ~5/5, 15~25 deals 5/5 straight paki fire! super stealthy ID's products are a must! trusted and generous vendor. 107 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","usa"
"2014-10-25__sw8Aqdryyg.html","2014-10-25","cyberzen","Learn How to Be 100% Anonymous",0.01149491,3.9785033001,346.11,"Services","Hacking","NA"," Feedbacks: 5/5 Great Guide ! Recommended 19 days ago anon ~5/5, 10~15 deals 5/5 awesome. 69 days ago anon ~5/5, 10~15 deals 5/5 106 days ago anon ~5/5, 15~25 deals 5/5 top vendor 123 days ago anon ~5/5, 10~15 deals 5/5 fine and fast 131 days ago anon ~5/5, 3~5 deals 5/5 good reading did also get some freebies :) thanks alot!! :)) 147 days ago anon 5.00/5, 25~40 deals 5/5 Great! 154 days ago anon ~5/5, 25~40 deals 5/5 5/5 160 days ago anon ~5/5, 6~10 deals 5/5 excellent 212 days ago anon ~5/5, 6~10 deals 5/5 Informative, stuff I already knew haha but OP delivars 238 days ago anon ~5/5, 15~25 deals 5/5 Good Vendor 238 days ago anon ~3/5, 1~2 deals 5/5 shipped all good 239 days ago anon ~5/5, 40~55 deals 5/5 Thanks! Info was delivered quickly! 244 days ago anon ~5/5, 3~5 deals ","uk, usa philippines","no info"
"2014-10-27__KxbqKqdN7v.html","2014-10-27","StealthBomber","25x Plus Minus XTC Pills (200mg) +++ Very Intense +++",0.36549086,127.5416905056,348.96,"Drugs","Ecstasy","Pills"," Feedbacks: 5/5 Came through again. Thank you =) 7 days ago anon ~5/5, 10~15 deals 5/5 Had shipping issues but reship took about two weeks to US, no crushed pills, gorgeous!!! Very good communication and service. 12 days ago anon ~5/5, 6~10 deals 5/5 great shipping and awesome stealth. highly recommended. will update when tested and tasted 12 days ago anon ~5/5, 6~10 deals 5/5 SB comes through as always, with extras too!! 16 days ago anon 5.00/5, 40~55 deals 5/5 i FE for Trust and hope for extra 17 days ago anon ~5/5, 6~10 deals 5/5 all is perfect man! 25 days ago anon 5.00/5, 15~25 deals ","uk, usa philippines","worldwide no australia"
"2014-10-27__uffi8Go4nY.html","2014-10-27","optiman","0.01 200g Digital Touch Scale!",0.0819209,28.587117264,348.96,"Drug paraphernalia","Scales","NA"," Feedbacks: 5/5 Great scale. 42 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","worldwide"
"2014-10-28__frlwAC7deA.html","2014-10-28","Zues","Diazepam 10mg x 14 ACTAVIS",0.06586066,23.176366254,351.9,"Drugs","Benzos","NA"," Feedbacks: 5/5 Great vendor NDD genuine product 4 days ago anon ~5/5, 15~25 deals 5/5 great pills. great service. weren't actavis as described but were still brand valium not generic. thanks! 17 days ago anon ~5/5, 6~10 deals 5/5 Well these arrived 2 days domestic. Excellent comms from the vendor, I was apprehensive would Activis be good or not, but these 26 days ago anon 3~5 deals 5/5 Arrived next day, just as described, fast friendly comms, very happy 36 days ago anon ~5/5, 3~5 deals 5/5 Fast, stealth and the product seems legit. 40 days ago anon ~5/5, 10~15 deals 5/5 All good, legit actavis vals. rm 1st, Next day delivery which is great! Fantastic vendor. I will be returning. A+++++++++++++++ 40 days ago anon 5.00/5, 40~55 deals 5/5 5/5 43 days ago anon 5.00/5, 25~40 deals 5/5 very safe 53 days ago anon 5.00/5, 25~40 deals 5/5 Got here in 48 hrs, all good 59 days ago anon ~5/5, 15~25 deals 5/5 came next day top coms, my new top vendor, highly reccomended 100% 70 days ago anon ~4/5, 6~10 deals ","uk, usa philippines","worldwide"
"2014-10-28__sFDJVc0v6G.html","2014-10-28","OneKing","~OneKing~ 28G Strawberry Cough Syrup",0.70601524,248.446762956,351.9,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 14days+ shipping. tracked services. No Product Arrived. 50% Refund. ?????? 15 days ago anon 4.21/5, 55~70 deals ","uk, usa philippines","worldwide"
"2014-10-28__yWsjivt5nA.html","2014-10-28","aaapee911","4g Cocaine Grade A+",1.13298399,398.697066081,351.9,"Drugs","Stimulants","Cocaine"," Feedbacks: 5/5 Thanks again! 0 days ago anon 5.00/5, 40~55 deals 5/5 This vendor and product is AMAZING! I recommend FE on every order for the bonus. 36 days ago anon ~5/5, 10~15 deals 4/5 not received but is working on a discounted second purchase to compensate for some of the loss 153 days ago anon ~5/5, 6~10 deals 5/5 Vendor worked with me to get it here fast. Everything looks great. This vendor seems top notch. I haven't tried yet, but det 176 days ago anon 4.64/5, 15~25 deals 5/5 good vendor; quality product; cut w/something slightly that gave a burn but still above 75% at least 189 days ago anon ~5/5, 15~25 deals ","uk , usaand worldwide","worldwide"
"2014-10-29__L4VTTLCRhU.html","2014-10-29","Gandalf","custom for SpecialK",0.73687623,245.6597975574,333.38,"Drugs","Opioids","Buprenorphine"," Feedbacks: 5/5 FE for trusted vendor 48 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","no info"
"2014-10-29__Z9wVlwbiT4.html","2014-10-29","thecheekygirls","Agent Orange 3.5g",0.17645501,58.8265712338,333.38,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Best Weed on Agora!!! Really lovely smoke. Super Fast Delivery Too. Thanks 76 days ago anon ~5/5, 40~55 deals 5/5 Top notch bud, strong effects and smells/tastes great. NDD and good stealth Thanks! 77 days ago anon ~5/5, 15~25 deals 5/5 Arrived in less that 24 hours! Told you I'd be back for more ;) 77 days ago anon ~5/5, 15~25 deals 5/5 24hr delivery. Discrete. Big fluffy buds with a relaxed up high. Overweight for previous order that went AWOL. Excellent comm's 82 days ago anon 5.00/5, 15~25 deals 5/5 Arrived next day, great ganj, great value, great everything! 82 days ago anon 5.00/5, 15~25 deals 5/5 NDD, Everything perfect. Will update when I get a chance to smoke. 82 days ago anon ~5/5, 25~40 deals 5/5 Must've got the tail-end of this batch, however weed is still a lovely smoke & was overweight. Stealth more than adequate & NDD 88 days ago anon 5.00/5, 25~40 deals 5/5 Best Weed I have had yet on Agora. Smokes well with lovely high. Watch out! it is strong. Fast Delivery 10/10 88 days ago anon ~5/5, 40~55 deals 5/5 quick delivery, smells awesome, would absolutely order again. quick note, packaging was ok but heat sealed bag wasn't quite sea 88 days ago anon ~5/5, 1~2 deals 5/5 top notch vendor 10/5 for me :) 89 days ago anon 5.00/5, 55~70 deals 5/5 Ordered Wednesday. Hasn't arrived yet. I'll update on Monday. 94 days ago anon 5.00/5, 15~25 deals 5/5 NDD with good packaging and stealth. Great green with a soaring sativa high. 97 days ago anon 5.00/5, 25~40 deals ","uk, usa philippines","uk"
"2014-10-30__A7RMBVbAv8.html","2014-10-30","Owsley_Stanley","25 hits @ 250mcg - Pure and Clean LSD - white fluff [Ants print]",0.7441362,255.819142836,343.78,"Drugs","Psychedelics","LSD"," Feedbacks: 5/5 5 days ago anon ~5/5, 25~40 deals ","uk, usa philippines","worldwide - also usa"
