"list","date","vendor","product","price","usd","rate","cat","subcat","subsubcat","feedback","from","to"
"2014-12-03__feZi4pgkhU.html","2014-12-03","laWnmoWermAn","1/4 ounce of Crippler - Ship to USA",0.17641792,66.1514274624,374.97,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Does what it says on the tin. Fine vendor. 237 days ago anon 5.00/5, 40~55 deals 5/5 FE! Thank you so much!! 238 days ago anon ~5/5, 15~25 deals 5/5 LMM is the man, look no further! Nice buds, sticky, good taste, decent stealth, will certainly be back. 244 days ago anon ~5/5, 1~2 deals ","uk, usa philippines","usa"
"2014-12-03__KLBXD3yqLh.html","2014-12-03","passman","Lottery: €50 Counterfeit Note",0.01320201,4.9503576897,374.97,"Services","Money","NA"," Feedbacks: 5/5 145 days ago anon ~5/5, 25~40 deals 5/5 145 days ago anon ~5/5, 25~40 deals 5/5 182 days ago anon ~5/5, 15~25 deals 5/5 Didn't win lottery, oh well, certainly not vendor's fault! -delta 237 days ago anon 5.00/5, 15~25 deals ","uk, usa philippines","no info"
"2014-12-03__qGXKezd9aV.html","2014-12-03","CQDX","Discounted 1 gram SAMPLE of fresh Moroccan Polm for feedback.NDD+No FE.   UNDER A FIVER!",0.01996114,7.4848286658,374.97,"Drugs","Cannabis","Hash"," Feedbacks: 5/5 Great Moroccan pollen, very strong, great stealth and fast postage, will buy again, thanks 3 days ago anon ~5/5, 3~5 deals 5/5 Good product, clean, as described. Discreet delivery 5 days ago anon ~5/5, 3~5 deals 5/5 Postal service not delivered. Working things out with vendor to mutual satisfaction. 6 days ago anon 6~10 deals 5/5 Rapid delivery. Good product. Many thanks! 6 days ago anon ~5/5, 3~5 deals 5/5 Fast delivery, top stealth, overweight 5/5. 6 days ago anon ~5/5, 1~2 deals 5/5 good clean hash,lovely smell, blond and pliable, doesn't bubble but still a nice bit of polm 7 days ago anon ~5/5, 15~25 deals 5/5 Awsm service! Will use again! Top Vendor! Having recently been scammed on here, I feel a lot better now! 7 days ago anon 3~5 deals 5/5 TOP TOP seller, managed to get before all the issues. Fast dispatch/postage and great product for price. A+++++++ 7 days ago anon ~5/5, 3~5 deals 5/5 Rapid dispatch, sound stealth and a nice bit of hash. I would buy this again. Honest vendor. 7 days ago anon 5.00/5, 55~70 deals 5/5 mid grade Polm, good for the price, great comms, decent stealth 8 days ago anon ~5/5, 6~10 deals 5/5 Very nice, will be back!! 8 days ago anon ~5/5, 10~15 deals 5/5 Nice smoke quick delivery! 8 days ago anon ~5/5, 3~5 deals 5/5 post was delayed - stealth 5/5 - Hash is pliable , sweet aroma , on weight , smooth smoke , good buy 9 days ago anon 5.00/5, 25~40 deals 5/5 whatevs 9 days ago anon ~5/5, 15~25 deals 5/5 Top quality hash, soft and pliable as described, a smooth smoke and swiftly received. Recommended. 10 days ago anon ~5/5, 3~5 deals 5/5 all good. ty 10 days ago anon ~5/5, 3~5 deals 5/5 Quick delivery, good stealth, seems like good product (have yet to try), looks good, soft and crumbly as described and bang on 10 days ago anon 5.00/5, 40~55 deals 5/5 NDD on a late order, excellent work. Good stealth, vac pac no smell, nice looking product will review on the forum. Good new ve 10 days ago anon ~5/5, 15~25 deals 5/5 nice soft hash! exactly what im looking for! 11 days ago anon 5.00/5, 70~100 deals 5/5 Was 11p short i postage but the sample was great. Well sealed and good gear 11 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","uk"
"2014-12-04__kdk1PMpwNP.html","2014-12-04","cyberzen","BYPASS ANY SMS PHONE VERIFICATION EASY WITHOUT SIM CARD",0.01091256,4.028371524,369.15,"Data","Pirated","NA"," Feedbacks: 3/5 vendor had a internet connection problem and sent me a new link so problem solved 69 days ago anon ~5/5, 6~10 deals 5/5 184 days ago anon ~5/5, 6~10 deals ","uk, usa philippines","no info"
"2014-12-05__CBFtPTYcac.html","2014-12-05","ThreeKings","Hubei Dianabol 50 tabs [10mg/tab]",0.05401026,20.3100181704,376.04,"Drugs","Steroids","NA"," Feedbacks: 5/5 all good :) 19 days ago anon 3~5 deals ","uk, usa philippines","worldwide"
"2014-12-05__Ej2LhZghlh.html","2014-12-05","NotoSeller","Tiny4K.com - [LIFETIME PORN PREMIUM ACCOUNT]",0.02690848,10.1186648192,376.04,"Data","Accounts","NA"," Feedbacks: 5/5 account works just perfect;) trusted vendor! 14 days ago anon ~5/5, 3~5 deals 5/5 super fast! 38 days ago anon ~5/5, 15~25 deals 5/5 Great vendor, thanks! :) 44 days ago anon 5.00/5, 40~55 deals 5/5 Works like a charm! Quick delivery. 46 days ago anon 3~5 deals 5/5 5/5 49 days ago anon ~5/5, 25~40 deals 5/5 fast! 52 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","no info"
"2014-12-05__R7EiGcwR3e.html","2014-12-05","DutchTruthTeller","25x HEINEKEN TOP CLASS DUTCH XTC PILL 200-220MG MDMA",0.3,112.812,376.04,"Drugs","Ecstasy","Pills"," Feedbacks: 5/5 8 days to receve order,extra pills like he say. i recommend it. 27 days ago anon ~3/5, 3~5 deals 5/5 top seller! 29 days ago anon ~5/5, 6~10 deals 5/5 FE for extras and good feedback! Will update! 33 days ago anon ~5/5, 10~15 deals 5/5 Excellent stealth , couple extra , will use again :) 36 days ago anon ~5/5, 6~10 deals ","uk, usa philippines","world  except australia"
"2014-12-05__xi5708CNlt.html","2014-12-05","MagicHat","Rayban Mini Wayfarer Sunglasses",0.03191574,12.0015948696,376.04,"Counterfeits","Accessories","NA"," Feedbacks: 5/5 Exactly as advertised. Fantastic 43 days ago anon 5.00/5, 40~55 deals 5/5 perfect 122 days ago anon ~5/5, 25~40 deals ","uk, usa philippines","worldwide"
"2014-12-05__xYcLVqJrbs.html","2014-12-05","accept","CANNABIS / BHO / WAX / OIL / SHATTER: 1/2g. 2-4 DAY MAIL",0.07453465,28.028009786,376.04,"Drugs","Cannabis","Concentrates"," Feedbacks: 5/5 Received the package in 3 days. It was very stealthy. The product was a bit sticky, but the end result amazing. 0 days ago anon ~5/5, 10~15 deals ","uk, usa philippines","usa"
"2014-12-06__W1PrrVUtbP.html","2014-12-06","RastainPeace","30ml GBL (German Made, 99.9%) UK to UK",0.099,37.02798,374.02,"Drugs","Dissociatives","GBL"," Feedbacks: 5/5 excellent stealth and shipping time 13 days ago anon 5.00/5, 70~100 deals 5/5 Super fast super strong brilliant stealth 15 days ago anon ~5/5, 6~10 deals 5/5 come in 2 days, the strongest shit i have had nice1 16 days ago anon ~5/5, 6~10 deals ","uk, usa philippines","no info"
