"count","fitted.values",".fitted",".resid","week","wk",".hat",".sigma",".cooksd",".fitted.1",".stdresid"
1054,3780.2266534522,8.23753924804677,-1.05452432824988,2014-01-07,"w1",0.0924618811260487,1.33031599667065,0.0159026164740942,8.23753924804677,-1.29176303914494
1495,2346.80547642275,7.76081031061927,-0.419440118586853,2014-01-14,"w2",0.0910799772348987,1.33609131904013,0.00395590281860167,7.76081031061927,-0.5134117697218
2271,3233.17340423516,8.08121941199237,-0.333615787197632,2014-01-21,"w3",0.0910799772348989,1.33648842508828,0.00265930190958129,8.08121941199237,-0.408359296410032
3166,5466.11979420794,8.60632428249519,-0.500608281493824,2014-01-28,"w4",0.0910799772348989,1.33563232781451,0.00531693761177433,8.60632428249519,-0.612764903378962
7018,4687.07288369503,8.45256354798209,0.432758032301365,2014-02-07,"w1",0.0839266628214855,1.33603055983538,0.00673660084807115,8.45256354798209,0.527641205940752
1012,2909.78539654566,7.97583461055458,-0.898824490440735,2014-02-14,"w2",0.0830478800356758,1.33224580350041,0.011443394920898,7.97583461055458,-1.0953685213678
717,4008.7859222503,8.29624371192769,-1.3416594315163,2014-02-21,"w3",0.0830478800356758,1.32617090266093,0.0181392799315661,8.29624371192769,-1.63503723286239
18553,6777.39834543078,8.8213485824305,1.20867110533503,2014-02-28,"w4",0.0830478800356758,1.3282506885538,0.0812124836489283,8.8213485824305,1.47296863353337
18519,5691.7841946895,8.64677904469787,1.46551260301763,2014-03-07,"w1",0.07710098784765,1.32412058833186,0.125218040825452,8.64677904469787,1.78020966821816
0,3533.52101427969,8.17005010727035,-3.7868324777498,2014-03-14,"w2",0.0766766370279582,1.24748689517996,0.0244964290312246,8.17005010727035,-4.5989413292861
288,4868.10103412991,8.49045920864346,-1.94250321703844,2014-03-21,"w3",0.0766766370279582,1.31416660683793,0.021683716979074,8.49045920864346,-2.35908463857311
0,8230.18752659696,9.01556407914627,-4.0038891291209,2014-03-28,"w4",0.0766766370279582,1.23648225214668,0.0244964290312246,9.01556407914627,-4.86254707647779
10378,7057.19783611647,8.86180334463317,0.412104913585211,2014-04-07,"w1",0.0705222115672965,1.33615188307581,0.00492285093814263,8.86180334463317,0.49882357781102
0,4381.18452894145,8.38507440720567,-3.84319513093095,2014-04-14,"w2",0.0706009818529496,1.24532433006992,0.022261462596028,8.38507440720567,-4.65211047105065
1477,6035.91965347382,8.70548350857877,-1.14229327157073,2014-04-21,"w3",0.0706009818529496,1.32931351250837,0.0126996183818017,8.70548350857877,-1.38272304908902
8145,10204.5438858564,9.23058837908158,-0.217268037781593,2014-04-28,"w4",0.0706009818529496,1.33688850683372,0.000906793921075313,9.23058837908158,-0.262998593397869
6405,8689.67985386369,9.06989137682864,-0.29030467540304,2014-05-07,"w1",0.065134409728002,1.33666879139299,0.00140314533129275,9.06989137682864,-0.350379050262936
1078,5394.6469719704,8.59316243940113,-1.27289230265325,2014-05-14,"w2",0.0657000714059244,1.32745828812916,0.0131252501101053,8.59316243940113,-1.53676404411672
12603,7432.15800808474,8.91357154077423,0.578999750566102,2014-05-21,"w3",0.0657000714059244,1.33516797189836,0.00992277738374635,8.91357154077423,0.699026929747192
22449,12565.0749039498,9.43867641127706,0.642330037269425,2014-05-28,"w4",0.0657000714059244,1.33470517263568,0.0126843819144782,9.43867641127706,0.775485642952075
10517,10774.264758395,9.28491567676396,-0.0240704491866086,2014-06-07,"w1",0.0605783955404804,1.33716855851,0.0000106593165822049,9.28491567676396,-0.0289809495794487
3652,6688.77976307017,8.80818673933644,-0.549809915514551,2014-06-14,"w2",0.0616471783237476,1.33537288457425,0.00393061988728412,8.80818673933644,-0.662350965917638
9777,9215.0734494236,9.12859584070955,0.0597818847434863,2014-06-21,"w3",0.0616471783237476,1.33715074441239,0.000070907104262383,9.12859584070955,0.0720186886174429
1476,15579.3361781934,9.65370071121236,-1.70373154270894,2014-06-28,"w4",0.0616471783237476,1.3197949844749,0.0156269443512275,9.65370071121236,-2.05246977388815
381,13266.5844978975,9.49300370895942,-2.27108921210544,2014-07-07,"w1",0.0571481054039264,1.30628484732477,0.0165178015686766,9.49300370895942,-2.72942486472633
0,8236.03873716355,9.0162747715319,-4.0040666257024,2014-07-14,"w2",0.0587037795794629,1.23847235866959,0.0180451628706388,9.0162747715319,-4.81611475205426
24143,11346.7186218767,9.33668387290502,0.863349089612882,2014-07-21,"w3",0.0587037795794629,1.3327453633122,0.022950269945736,9.33668387290502,1.03844133360988
15465,19183.1725378859,9.86178874340783,-0.207987330235456,2014-07-28,"w4",0.0587037795794629,1.33691549484772,0.000677920891980039,9.86178874340783,-0.250168377058822
3574,16449.1323298188,9.70802800889473,-1.21972391243247,2014-08-07,"w1",0.0546148533092366,1.32836038510863,0.0101966616450197,9.70802800889473,-1.46391492690293
316,10211.7987551799,9.23129907146722,-2.23897362876919,2014-08-14,"w2",0.056673648590118,1.30717745123707,0.0162892776813609,9.23129907146722,-2.69015115806462
18060,14068.7059393507,9.55170817284032,0.260589720538554,2014-08-21,"w3",0.056673648590118,1.33677018589303,0.0013961232500347,9.55170817284032,0.313101382472242
18515,23785.0626611124,10.0768130433431,-0.240442442076959,2014-08-28,"w4",0.056673648590118,1.33682992363117,0.000851584151931652,10.0768130433431,-0.288894208350632
4786,20395.1480086509,9.92305230883005,-1.16984246506926,2014-09-07,"w1",0.0531095622781171,1.32908143646491,0.00944985853929124,9.92305230883005,-1.40293065518342
15257,12661.5278466024,9.44632337140253,0.192450190108143,2014-09-14,"w2",0.0556714786643434,1.33695309485857,0.000714487168618202,9.44632337140253,0.231108266142814
14244,17443.676308877,9.76673247277565,-0.196022531862179,2014-09-21,"w3",0.0556714786643434,1.33694489189497,0.000572097392496663,9.76673247277565,-0.235398195440264
38379,29490.9095289503,10.2918373432785,0.275520248529065,2014-09-28,"w4",0.0556714786643434,1.3367232915983,0.00154445235335879,10.2918373432785,0.33086486892535
