"count","fitted.values",".fitted",".resid","week",".hat",".sigma",".cooksd"
1054,3862.07455973972,8.25895976879374,-1.06913269397812,2014-01-07,0.053238437172801,1.33016084647211,0.0208894999334677
1495,4041.4737789845,8.30436470121137,-0.853695234491619,2014-01-14,0.0512296871665473,1.3325170837402,0.0150316423868059
2271,4229.20636398077,8.34976963362901,-0.563514459092635,2014-01-21,0.0492733014634749,1.33484223718351,0.00777512647892311
3166,4425.6594122032,8.39517456604663,-0.317250521912863,2014-01-28,0.0473692800635881,1.33606361814887,0.00281323449198357
7018,4722.24100555193,8.46003875521467,0.424179192181429,2014-02-07,0.0447400855284597,1.33562140163846,0.00770935446155613
1012,4941.5962604486,8.50544368763229,-1.2574195504868,2014-02-14,0.0429632345791667,1.32777036126494,0.0197337258392952
717,5171.14089953685,8.55084862004992,-1.49293462765473,2014-02-21,0.0412387479330595,1.32414689278366,0.0221435731893223
18553,5411.34823516231,8.59625355246756,1.54686932856534,2014-02-28,0.039566625590138,1.32324758386241,0.16830285768871
18519,5662.71356574648,8.64165848488518,1.47339485981677,2014-03-07,0.0379468675504022,1.32451474517333,0.140594303679836
0,5925.75519707381,8.68706341730281,-3.92098544177425,2014-03-14,0.0363794738138521,1.248460350212,0.0260646770053336
288,6201.01551101822,8.73246834972043,-2.05715914567954,2014-03-21,0.0348644443804877,1.31298729976142,0.0226415699867226
0,6489.0620839141,8.77787328213806,-3.94407740343367,2014-03-28,0.033401779250309,1.24766628368131,0.0237840406114113
10378,6923.92075534268,8.84273747130609,0.433948762496225,2014-04-07,0.0314030936719066,1.33558898288451,0.00554184934408287
0,7245.54737295652,8.88814240372373,-3.97193716056126,2014-04-14,0.0300675989923218,1.24668089246025,0.0212629654639544
1477,7582.11403463097,8.93354733614136,-1.28885965543643,2014-04-21,0.0287844686159227,1.32745664480091,0.013162607604636
8145,7934.31472806587,8.97895226855898,0.0263222242335486,2014-04-28,0.0275537025427094,1.33662453062574,0.0000136680398905343
6405,8411.28923274962,9.03733003881023,-0.260662360954669,2014-05-07,0.026048232485912,1.33625548219014,0.00103937754293393
1078,8802.00637138998,9.08273497122785,-1.56354999697712,2014-05-14,0.0249371562485517,1.3231621253048,0.0134372878434647
12603,9210.87291355257,9.12813990364548,0.330829167680538,2014-05-21,0.0238784443143771,1.33602901318948,0.00226125161697721
22449,9638.73192655037,9.1735448360631,0.98344729996593,2014-05-28,0.0228720966833883,1.33132836153559,0.0281506092840689
10517,10284.6628955615,9.23840902523114,0.0224227335628026,2014-06-07,0.0215252932466855,1.33662559221062,0.00000763334534226534
3652,10762.4010813783,9.28381395764876,-0.916638641361653,2014-06-14,0.0206461160662905,1.33203567350608,0.00625081917668599
9777,11262.3309303062,9.3292188900664,-0.138174261318018,2014-06-21,0.0198193031890813,1.33652424397839,0.000238711856457521
1476,11785.4832787449,9.37462382248403,-1.55098138977544,2014-06-28,0.0190448546150577,1.32345881291291,0.0100754948825775
381,12493.9723218443,9.43300159273525,-2.24530484459902,2014-07-07,0.0181260784857901,1.30890254196261,0.0117571157848593
0,13074.3362804201,9.47840652515289,-4.11786510831836,2014-07-14,0.0174713197476196,1.24097849062021,0.0120404649608761
24143,13681.6590248595,9.52381145757052,0.627195143727025,2014-07-21,0.0168689253126348,1.33448839101158,0.00678843677363101
15465,14317.192831643,9.56921638998814,0.0781223724387037,2014-07-28,0.0163188951808358,1.33659518205737,0.0000721127786605455
3574,15276.646659152,9.63408057915618,-1.17182912572771,2014-08-07,0.0156239738858327,1.32915275588263,0.00629491085919238
316,15986.2700599791,9.6794855115738,-2.42631830576182,2014-08-14,0.0152011142046275,1.30429171186949,0.0100195222798681
18060,16728.8565437547,9.72489044399143,0.0775539961893285,2014-08-21,0.0148306188266081,1.33659571212242,0.0000643669143115095
18515,17505.937295663,9.77029537640907,0.0565694771239847,2014-08-28,0.0145124877517743,1.33661098502919,0.0000330303523559441
4786,18679.0819714359,9.8351595655771,-1.11169396802112,2014-09-07,0.0141488508238646,1.32991230386179,0.00535787568821413
15257,19546.7536515266,9.88056449799473,-0.237947991574161,2014-09-14,0.0139578901996247,1.33632145022612,0.000459994138991315
14244,20454.7299967813,9.92596943041235,-0.341307593467584,2014-09-21,0.0138192938785705,1.335996945831,0.000871522622067422
38379,21404.8832200097,9.97137436282998,0.646700429114155,2014-09-28,0.0137330618607021,1.33436034500545,0.00590656641490927
33618,22691.6463396479,10.0297521330812,0.420593819518024,2014-10-07,0.0136991355893482,1.33566952615249,0.00217220520606777
29122,23745.70771877,10.0751570654988,0.211277089568382,2014-10-14,0.0137325934073328,1.33638645214177,0.000481467220780384
26111,24848.7318471931,10.1205619979165,0.0499625640908538,2014-10-21,0.0138184155285031,1.33661481130888,0.0000243919927004586
98240,26002.993118863,10.1659669303341,1.70224839500955,2014-10-28,0.0139566019528591,1.32083095408691,0.073700164239532
68851,27745.5603642694,10.2308311195021,1.07018243110749,2014-11-07,0.0142448471666491,1.33040504747046,0.021406186023923
69201,29034.3837129295,10.2762360519198,1.01477184977376,2014-11-14,0.014510204041599,1.33103261758429,0.0190231549615028
69512,30383.0748603381,10.3216409843374,0.959415458119412,2014-11-21,0.0148279252197346,1.33162596514016,0.0168576335509818
68464,31794.4147565226,10.367045916755,0.878995741978089,2014-11-28,0.015198010701056,1.33242911780756,0.0138677899747233
55065,33705.7487217053,10.4254236870063,0.534512261570169,2014-12-07,0.0157507783572318,1.33507622350934,0.00434374149543607
57895,35271.4318568186,10.4708286194239,0.540103120210502,2014-12-14,0.0162405536744062,1.33504277543408,0.00459311207192707
64826,36909.8433475551,10.5162335518415,0.62145823424137,2014-12-21,0.0167826932947663,1.33452757494041,0.00660689640984863
99192,38624.3615363092,10.5616384842591,1.11798565270343,2014-12-28,0.0173771972183122,1.32981350122848,0.0294423673646112
65290,41212.7384581599,10.6265026734272,0.498251801789939,2015-01-07,0.0183173245738019,1.33527624177609,0.00431597620162072
51472,43127.1326491491,10.6719076058448,0.182257828273407,2015-01-14,0.0190389989479416,1.33644736615785,0.000492817760575863
60830,45130.4533530468,10.7173125382624,0.314148124007374,2015-01-21,0.019813037625267,1.33609018143304,0.00166025987029867
81562,47226.8313412141,10.7627174706801,0.601041516638409,2015-01-28,0.0206394406057781,1.33465569637036,0.00756696064860356
63124,50391.6950560692,10.8275816598481,0.234060110476864,2015-02-07,0.0219108523283611,1.33632898328392,0.000972761870543258
60398,52732.4656988016,10.8729865922657,0.138865601641736,2015-02-14,0.0228644257594661,1.33652287201918,0.00033665678603475
49362,55181.9686871267,10.9183915246834,-0.109422860087026,2015-02-21,0.0238703634937569,1.33656278695009,0.000185395406406244
63172,57745.2548033656,10.963796457101,0.0911849639640532,2015-02-28,0.0249286655312333,1.33658276816584,0.000154056677949892
62921,60427.6094463356,11.0092013895186,0.040708189770892,2015-03-07,0.0260393318718955,1.3366192456052,0.0000310931563185336
43576,63234.5635296434,11.0546063219362,-0.350603199592999,2015-03-14,0.0272023625157433,1.33595290823262,0.00184826457157408
57789,66171.9048862191,11.1000112543539,-0.132467216953847,2015-03-21,0.0284177574627769,1.33653181882315,0.000321425618767426
52345,69245.690202608,11.1454161867715,-0.267342507688862,2015-03-28,0.0296855167129962,1.33623465321599,0.00124954237648999
73219,73886.1279814841,11.2102803759395,-0.00905645627076779,2015-04-07,0.0315874373923052,1.33662788553619,0.00000182681295029056
94267,77318.2506574873,11.2556853083572,0.204970550160825,2015-04-14,0.0329823670931184,1.33639614597292,0.00112754096300341
5596,80909.8006358128,11.3010902407748,-1.86571506036599,2015-04-21,0.0344296610971173,1.3172225106169,0.0212872617781829
31291,84668.1835563884,11.3464951731924,-0.854378717950866,2015-04-28,0.0359293194043019,1.3325759399176,0.0102213929101709
58882,89758.0452896807,11.4048729434436,-0.393929613774389,2015-05-07,0.0379343949794448,1.33576608660653,0.00322647549053166
30645,93927.4425907496,11.4502778758613,-0.944791570783445,2015-05-14,0.0395537431224824,1.33165246407667,0.0129488423451377
11903,98290.5147183821,11.4956828082789,-1.56986448461882,2015-05-21,0.0412254555687058,1.32282074076322,0.0230472564329594
17183,102856.258161935,11.5410877406965,-1.38309097321712,2015-05-28,0.0429495323181149,1.32590392006953,0.0216434208157381
