"count","fitted.values",".fitted",".resid","week","month","wk",".hat",".sigma",".cooksd",".stdresid"
1054,4390.35912719647,8.38716630846282,-1.15489398328152,2014-01-07,"01","w1",0.187499999999997,1.35324572631964,0.013584492919812,-1.47489848399499
1495,2365.99966704062,7.76895590381162,-0.426480102175226,2014-01-14,"01","w2",0.185255331088665,1.36257160512386,0.00313240340317436,-0.543900809403416
2271,3907.5658152115,8.27066990545807,-0.497744098008019,2014-01-21,"01","w3",0.185255331088665,1.36204177936868,0.00405438900089841,-0.634785577103205
3166,5855.82330747154,8.67519188228149,-0.557899689150648,2014-01-28,"01","w4",0.185255331088665,1.36153075113477,0.00487688645733479,-0.71150351668758
7018,6108.11406975755,8.71737334163198,0.142149680582134,2014-02-07,"02","w1",0.1875,1.36387086809338,0.000521984445449164,0.181537311152356
1012,3291.7115517429,8.09916293698077,-0.986831224557057,2014-02-14,"02","w2",0.185255331088665,1.35618723812058,0.0110863178063048,-1.25853070059672
717,5436.4249126104,8.60087693862724,-1.52163677896583,2014-02-21,"02","w3",0.185255331088664,1.34530316397715,0.0174189687898202,-1.94058168593639
18553,8146.95010091837,9.00539891545064,0.953211481097885,2014-02-28,"02","w4",0.185255331088665,1.35671417927468,0.0377096727069349,1.21565459550737
18519,5170.90748528669,8.55080348116804,1.615941792704,2014-03-07,"03","w1",0.1875,1.34283183669111,0.156748293470619,2.06369600568117
0,2786.64342347288,7.93259307651684,-3.72359854885481,2014-03-14,"03","w2",0.185255331088664,1.24767705178189,0.0231137849078341,-4.74879895752652
288,4602.2798449361,8.43430707816329,-1.9151628019703,2014-03-21,"03","w3",0.185255331088665,1.33424056268354,0.0203114835901034,-2.44245532867317
0,6896.91200556903,8.83882905498671,-3.95950225533127,2014-03-28,"03","w4",0.185255331088664,1.23165466894543,0.0231137849078341,-5.04965289242145
10378,5423.25268756599,8.59845104128678,0.727487895655277,2014-04-07,"04","w1",0.1875,1.35976329778629,0.0196345649039725,0.92906432101926
0,2922.63427234755,7.98024063663557,-3.73637274281771,2014-04-14,"04","w2",0.185255331088665,1.2468397641578,0.0231137849078341,-4.76509020863169
1477,4826.87547766038,8.48195463828204,-0.990132723529638,2014-04-21,"04","w3",0.185255331088664,1.35613449580929,0.0111325897348133,-1.26274118533979
8145,7233.48786968958,8.88647661510544,0.121077692067765,2014-04-28,"04","w4",0.185255331088664,1.36391588396118,0.000367029065248958,0.154413428388502
6405,6536.55250242697,8.78516516516226,-0.0202622923771494,2014-05-07,"05","w1",0.1875,1.36403035931164,0.00000952793225294071,-0.0258766819655655
1078,3522.60045164266,8.16695476051106,-0.990066593094853,2014-05-14,"05","w2",0.185255331088664,1.3561355540094,0.0111316635103675,-1.26265684753171
12603,5817.74938400755,8.66866876215752,0.886882446408594,2014-05-21,"05","w3",0.185255331088664,1.35769968250031,0.0314407455656989,1.13106350797375
22449,8718.39760376633,9.07319073898093,1.12168548353505,2014-05-28,"05","w4",0.185255331088664,1.3538876457033,0.0573293354587251,1.43051373154124
10517,6558.57364225227,8.78852842571275,0.512503726228111,2014-06-07,"06","w1",0.1875,1.36191596497486,0.00856888435184946,0.654511132448568
3652,3534.46782011646,8.17031802106156,0.0328915454999906,2014-06-14,"06","w2",0.185255331088665,1.36402497518651,0.0000255585720289015,0.0419474159022403
9777,5837.34893172115,8.67203202270801,0.564177655781356,2014-06-21,"06","w3",0.185255331088664,1.36147405103342,0.0105282278582949,0.719509965556902
1476,8747.769210988,9.07655399953141,-1.37709239021484,2014-06-28,"06","w4",0.185255331088664,1.34871194651065,0.0159719009406625,-1.75624058857826
381,8424.39999471594,9.03888753544009,-2.06945110263427,2014-07-07,"07","w1",0.22979797979798,1.32713792320384,0.0292470240398032,-2.71446682221153
0,4539.97657254132,8.42067713078889,-3.85244782723631,2014-07-14,"07","w2",0.251122334455668,1.22747410636442,0.0370857435642959,-5.12463598594877
24143,7497.99651447677,8.92239113243536,1.44952970350839,2014-07-21,"07","w3",0.251122334455668,1.34554294365786,0.182761327302621,1.92820575759223
15465,11236.3923795961,9.32691310925876,0.337371767831426,2014-07-28,"07","w4",0.251122334455668,1.36303844036281,0.00525228125475316,0.448781548668596
3574,9583.4274561277,9.16779057901813,-0.847685497038258,2014-08-07,"08","w1",0.29040404040404,1.35738898262585,0.0187822781880689,-1.15840622111691
316,5164.58574649347,8.54958017436694,-1.92614843367394,2014-08-14,"08","w2",0.291526374859708,1.3293140143802,0.042396798411893,-2.63426586072407
18060,8529.56954891236,9.05129417601339,0.856947479201575,2014-08-21,"08","w3",0.291526374859708,1.35723183678102,0.0600543802179462,1.17199040812677
18515,12782.293256017,9.45581615283681,0.394886781611169,2014-08-28,"08","w4",0.291526374859708,1.36259218919155,0.00967555272459247,0.540060542304807
4786,19468.0317784469,9.87652900329467,-1.13922575427924,2014-09-07,"09","w1",0.29040404040404,1.35200870004982,0.0271676467006471,-1.55681111169713
15257,10491.4781163141,9.25831859864347,0.399381490600719,2014-09-14,"09","w2",0.291526374859708,1.36255916999888,0.00992479315087328,0.546207658611144
14244,17327.1965374479,9.76003260028993,-0.189746324053781,2014-09-21,"09","w3",0.291526374859708,1.36370098213727,0.00152306943244486,-0.259503501866344
38379,25966.2936302032,10.1645545771133,0.41790038541981,2014-09-28,"09","w4",0.291526374859708,1.3624191751153,0.0109922582285006,0.571534726633218
33618,47661.6084209598,10.7718814979003,-0.329885306670948,2014-10-07,"10","w1",0.290404040404041,1.3630294405884,0.00414709351708113,-0.450805390487219
