Date,Price
2014-05-05,1309
2014-05-02,1302.6
2014-05-01,1283.1
2014-04-30,1295.6
2014-04-29,1296
2014-04-28,1298.9
2014-04-25,1300.7
2014-04-24,1290.5
2014-04-23,1284.2
2014-04-22,1280.6
2014-04-21,1288
2014-04-17,1293.4
2014-04-16,1303.1
2014-04-15,1300
2014-04-14,1327.2
2014-04-11,1318.7
2014-04-10,1320.1
2014-04-09,1305.5
2014-04-08,1308.7
2014-04-07,1298
2014-04-04,1303.2
2014-04-03,1284.4
2014-04-02,1290.5
2014-04-01,1279.6
2014-03-31,1283.4
2014-03-28,1293.8
2014-03-27,1294.7
2014-03-26,1303.4
2014-03-25,1311.4
2014-03-24,1311.2
2014-03-21,1336
2014-03-20,1330.5
2014-03-19,1341.4
2014-03-18,1359
2014-03-17,1372.9
2014-03-14,1379
2014-03-13,1372.2
2014-03-12,1370.3
2014-03-11,1346.5
2014-03-10,1341.4
2014-03-07,1338.1
2014-03-06,1351.7
2014-03-05,1340.2
2014-03-04,1337.8
2014-03-03,1350.1
2014-02-28,1321.4
2014-02-27,1331.6
2014-02-26,1328.2
2014-02-25,1343
2014-02-24,1338.3
2014-02-21,1323.9
2014-02-20,1317.1
2014-02-19,1320.6
2014-02-18,1324.7
2014-02-17,1328.5
2014-02-14,1319
2014-02-13,1300.4
2014-02-12,1295.3
2014-02-11,1290.1
2014-02-10,1274.8
2014-02-07,1263.3
2014-02-06,1257.6
2014-02-05,1257.3
2014-02-04,1251.7
2014-02-03,1260.4
2014-01-31,1240.1
2014-01-30,1242.2
2014-01-29,1262.2
2014-01-28,1251
2014-01-27,1263.6
2014-01-24,1264.5
2014-01-23,1262.6
2014-01-22,1239
2014-01-21,1242.3
2014-01-20,1255.1
2014-01-17,1251.7
2014-01-16,1240
2014-01-15,1238.1
2014-01-14,1245.2
2014-01-13,1250.9
2014-01-10,1246.7
2014-01-09,1229.3
2014-01-08,1225.3
2014-01-07,1229.4
2014-01-06,1237.8
2014-01-03,1238.4
2014-01-02,1225
2014-01-01,1205.4
